"row"	"column"	"cor"	"p"
"1"	"D1"	"D2"	-0.161043446348164	7.94515564450649e-10
"2"	"D1"	"D3"	-0.14116755328448	7.48014401530384e-08
"3"	"D2"	"D3"	-0.110343603643919	2.71156209987744e-05
"4"	"D1"	"D4"	-0.188074829318399	6.24389429049188e-13
"5"	"D2"	"D4"	-0.147008671177336	2.09199457756881e-08
"6"	"D3"	"D4"	-0.128864942301601	9.28088113472114e-07
"7"	"D1"	"D5"	-0.134982789525259	2.72793392541715e-07
"8"	"D2"	"D5"	-0.105509283681573	6.03289911165206e-05
"9"	"D3"	"D5"	-0.0924873862542964	0.000441186978143993
"10"	"D4"	"D5"	-0.123219174514049	2.73659847449537e-06
"11"	"D1"	"D6"	-0.175890405587464	1.80184756004564e-11
"12"	"D2"	"D6"	-0.137484717609291	1.62733739594856e-07
"13"	"D3"	"D6"	-0.120516429814547	4.51754368269164e-06
"14"	"D4"	"D6"	-0.160561732778333	8.93307205984684e-10
"15"	"D5"	"D6"	-0.115236422970441	1.16665254337178e-05
"16"	"D1"	"D7"	-0.170469117889017	7.46807060636456e-11
"17"	"D2"	"D7"	-0.133247168632073	3.88256021555122e-07
"18"	"D3"	"D7"	-0.116801876788006	8.84297591396965e-06
"19"	"D4"	"D7"	-0.155612904876975	2.91770785310064e-09
"20"	"D5"	"D7"	-0.111684610123253	2.15930203364412e-05
"21"	"D6"	"D7"	-0.14553152621565	2.90123476354154e-08
"22"	"D1"	"D8"	-0.144794950523864	3.41093393529945e-08
"23"	"D2"	"D8"	-0.113178958326557	1.67024550359329e-05
"24"	"D3"	"D8"	-0.0992104738972402	0.000162718844770371
"25"	"D4"	"D8"	-0.13217621550201	4.81660571649556e-07
"26"	"D5"	"D8"	-0.094863913166969	0.000312347353953024
"27"	"D6"	"D8"	-0.123613182252614	2.54150750711446e-06
"28"	"D7"	"D8"	-0.1198031812348	5.1473537614477e-06
"29"	"D1"	"KerFeed"	0.00989790755314726	0.707450599569612
"30"	"D2"	"KerFeed"	0.0256554379782989	0.330617862688342
"31"	"D3"	"KerFeed"	0.06508591010427	0.0134995488558629
"32"	"D4"	"KerFeed"	0.00310013562661931	0.906432150220318
"33"	"D5"	"KerFeed"	-0.0622921501913513	0.0180756793084647
"34"	"D6"	"KerFeed"	0.0901172978449668	0.000617726478306047
"35"	"D7"	"KerFeed"	-0.0243011132323957	0.356790652233713
"36"	"D8"	"KerFeed"	-0.208442104602329	1.33226762955019e-15
"37"	"D1"	"KerTemp"	-0.249697540192651	0
"38"	"D2"	"KerTemp"	-0.296895777559342	0
"39"	"D3"	"KerTemp"	0.401993535783397	0
"40"	"D4"	"KerTemp"	0.173035865590133	3.83097997769255e-11
"41"	"D5"	"KerTemp"	0.0214922521041793	0.415095488815137
"42"	"D6"	"KerTemp"	0.144285313566674	3.81330513832268e-08
"43"	"D7"	"KerTemp"	0.015381324134046	0.55975339271687
"44"	"D8"	"KerTemp"	-0.176425661704702	1.56199497780563e-11
"45"	"KerFeed"	"KerTemp"	0.17381278331348	3.1238567288483e-11
"46"	"D1"	"WaterLev"	-0.326570109862984	0
"47"	"D2"	"WaterLev"	-0.210482066680419	6.66133814775094e-16
"48"	"D3"	"WaterLev"	-0.274850704003586	0
"49"	"D4"	"WaterLev"	-0.193462404640108	1.31006316905768e-13
"50"	"D5"	"WaterLev"	-0.16558667124722	2.58526755558819e-10
"51"	"D6"	"WaterLev"	0.381017639998154	0
"52"	"D7"	"WaterLev"	0.32958802945847	0
"53"	"D8"	"WaterLev"	0.357222781789983	0
"54"	"KerFeed"	"WaterLev"	-0.0136844582041449	0.603856964711497
"55"	"KerTemp"	"WaterLev"	0.00427258558693508	0.871311235618136
"56"	"D1"	"BrineLev"	0.799935598075622	0
"57"	"D2"	"BrineLev"	-0.123740278777126	2.48147287607026e-06
"58"	"D3"	"BrineLev"	-0.126777520569476	1.39179567870684e-06
"59"	"D4"	"BrineLev"	-0.0067729635330255	0.797336530405686
"60"	"D5"	"BrineLev"	-0.0973759872084406	0.000214965198408468
"61"	"D6"	"BrineLev"	-0.259496581681823	0
"62"	"D7"	"BrineLev"	-0.182556874343671	2.94608781814532e-12
"63"	"D8"	"BrineLev"	-0.071414471144661	0.00670609436124447
"64"	"KerFeed"	"BrineLev"	0.0421866770085744	0.109555548806948
"65"	"KerTemp"	"BrineLev"	-0.21583757343104	0
