"obs"	"leverage"	"rstudent"	"color"	"fct_color"	"txt"
"1"	1	0.236929323326899	3.96166530558019	"outlier & leverage"	"outlier & leverage"	1
"2"	2	0.0817027525306517	0.0417338409931638	"leverage"	"leverage"	2
"3"	3	0.0522843919332626	-1.09381254487371	"leverage"	"leverage"	3
"4"	4	0.0238848827145685	-1.02469216327701	"normal"	"normal"	NA
"5"	5	0.024795165117152	-0.458925460790237	"normal"	"normal"	NA
"6"	6	0.0361071805383892	-0.0923942510360432	"leverage"	"leverage"	6
"7"	7	0.0300303841040879	0.128672999362019	"normal"	"normal"	NA
"8"	8	0.0277503178824499	0.219125946566836	"normal"	"normal"	NA
"9"	9	0.0184517268629096	1.02998595530918	"normal"	"normal"	NA
"10"	10	0.0176977892172925	1.21908684832932	"normal"	"normal"	NA
"11"	11	0.0195814183909459	1.65548233736908	"normal"	"normal"	NA
"12"	12	0.0241752523426388	0.480279625196624	"normal"	"normal"	NA
"13"	13	0.0234919589968121	-0.639058789596602	"normal"	"normal"	NA
"14"	14	0.026634512294105	-0.642045664450262	"normal"	"normal"	NA
"15"	15	0.0274982458609914	-0.66499013484354	"normal"	"normal"	NA
"16"	16	0.0544902094175484	-0.551069315029872	"leverage"	"leverage"	16
"17"	17	0.0443242381880023	-0.0390538710830894	"leverage"	"leverage"	17
"18"	18	0.253627761303035	-0.542787799796071	"leverage"	"leverage"	18
"19"	19	0.310259895909181	-0.76204024199065	"leverage"	"leverage"	19
"20"	20	0.123578252642375	-0.352990255115122	"leverage"	"leverage"	20
"21"	21	0.0208568413619032	0.221616913626857	"normal"	"normal"	NA
"22"	22	0.0168796870421279	0.486259722114909	"normal"	"normal"	NA
"23"	23	0.026540823128283	0.483222243649195	"normal"	"normal"	NA
"24"	24	0.0393409410934271	0.362779120562873	"leverage"	"leverage"	24
"25"	25	0.0235551410412177	-0.602218412023258	"normal"	"normal"	NA
"26"	26	0.0139094152226742	0.310694784850513	"normal"	"normal"	NA
"27"	27	0.0132103646111098	0.77944353100002	"normal"	"normal"	NA
"28"	28	0.0131766735285188	0.974822494559733	"normal"	"normal"	NA
"29"	29	0.0117932552319287	0.865544700134242	"normal"	"normal"	NA
"30"	30	0.0103043721677714	0.246738283608982	"normal"	"normal"	NA
"31"	31	0.0624544401270071	-6.46555645182164	"outlier & leverage"	"outlier & leverage"	31
"32"	32	0.0355236208355583	0.960040900512961	"leverage"	"leverage"	32
"33"	33	0.0125766071755471	0.495063065857555	"normal"	"normal"	NA
"34"	34	0.0141066681181226	1.19506289701483	"normal"	"normal"	NA
"35"	35	0.0272121603643102	1.00960955753532	"normal"	"normal"	NA
"36"	36	0.0194744983961901	1.33066228496706	"normal"	"normal"	NA
"37"	37	0.0309331961609019	0.518589157530212	"normal"	"normal"	NA
"38"	38	0.0234810012748268	0.403081310106038	"normal"	"normal"	NA
"39"	39	0.0164416898166325	0.784965146817419	"normal"	"normal"	NA
"40"	40	0.0207600833825215	0.925105513206274	"normal"	"normal"	NA
"41"	41	0.0256394092342574	0.734879303896729	"normal"	"normal"	NA
"42"	42	0.0269880010695114	0.646743898941703	"normal"	"normal"	NA
"43"	43	0.0241449978524725	0.513577168680006	"normal"	"normal"	NA
"44"	44	0.0232123081538417	0.534727677750416	"normal"	"normal"	NA
"45"	45	0.0242335248285177	0.387492195706855	"normal"	"normal"	NA
"46"	46	0.021616736968495	0.0634172837585061	"normal"	"normal"	NA
"47"	47	0.0243368769652395	0.54375181168636	"normal"	"normal"	NA
"48"	48	0.0182752339613346	0.342410702831791	"normal"	"normal"	NA
"49"	49	0.0156342248510813	0.14234182264391	"normal"	"normal"	NA
"50"	50	0.0157292629145828	0.240000556332872	"normal"	"normal"	NA
"51"	51	0.0167386894068405	0.114262629119961	"normal"	"normal"	NA
"52"	52	0.0180250827760528	-0.604901940698449	"normal"	"normal"	NA
"53"	53	0.0178544332014345	-0.514417107038325	"normal"	"normal"	NA
"54"	54	0.0195441894117168	-0.338910298345784	"normal"	"normal"	NA
"55"	55	0.0191607735036609	-0.183209933607089	"normal"	"normal"	NA
"56"	56	0.0188429351381	-0.223703764074991	"normal"	"normal"	NA
"57"	57	0.0193030267992812	-0.250723760982727	"normal"	"normal"	NA
"58"	58	0.0202432137835598	-0.152388500523099	"normal"	"normal"	NA
"59"	59	0.0155237511578073	0.347703483528487	"normal"	"normal"	NA
"60"	60	0.0138278889171411	-0.0224386229723365	"normal"	"normal"	NA
"61"	61	0.0150029655076874	0.134161971314541	"normal"	"normal"	NA
"62"	62	0.013591737629888	0.194473686287517	"normal"	"normal"	NA
"63"	63	0.0134473823453718	0.31151552153126	"normal"	"normal"	NA
"64"	64	0.0123921180752377	0.0757527690894815	"normal"	"normal"	NA
"65"	65	0.010742716032732	0.0776456092820983	"normal"	"normal"	NA
"66"	66	0.0117970806422004	0.201663877725232	"normal"	"normal"	NA
"67"	67	0.0111061045778247	0.21519207184429	"normal"	"normal"	NA
"68"	68	0.0111302264778818	0.202650933773443	"normal"	"normal"	NA
"69"	69	0.0113434451466544	0.235370369187725	"normal"	"normal"	NA
"70"	70	0.00877238704462475	0.252709398291635	"normal"	"normal"	NA
"71"	71	0.00849041213220019	-0.306846957822232	"normal"	"normal"	NA
"72"	72	0.00848442575933554	-0.351591030469294	"normal"	"normal"	NA
"73"	73	0.0123980634338213	-0.389635314621324	"normal"	"normal"	NA
"74"	74	0.00888567615727548	-0.355317039400555	"normal"	"normal"	NA
"75"	75	0.0123318597409104	-0.105748536356506	"normal"	"normal"	NA
"76"	76	0.00851422196855814	-0.108279758838478	"normal"	"normal"	NA
"77"	77	0.0129296042536342	1.61784384597607	"normal"	"normal"	NA
"78"	78	0.0115633698325967	1.43629123112965	"normal"	"normal"	NA
"79"	79	0.0108808427251572	0.854763124720012	"normal"	"normal"	NA
"80"	80	0.00995544648939656	0.72745727490045	"normal"	"normal"	NA
"81"	81	0.012040392505351	0.981782396003757	"normal"	"normal"	NA
"82"	82	0.0118078299386606	1.59076252410142	"normal"	"normal"	NA
"83"	83	0.0113035913689869	1.12997455138903	"normal"	"normal"	NA
"84"	84	0.00927610370119474	1.01553674534033	"normal"	"normal"	NA
"85"	85	0.00974282839539756	-0.331714487769896	"normal"	"normal"	NA
"86"	86	0.00988891849318099	0.0756169008238395	"normal"	"normal"	NA
"87"	87	0.00992229543761232	0.0998151840715242	"normal"	"normal"	NA
