"DepRate"	"D1"	"D2"	"D3"	"D4"	"D5"	"D6"	"D7"	"D8"	"KerFeed"	"KerTemp"	"WaterLev"	"BrineLev"	"WaterpH"	"WCBootLev"	"ECPdP"	"ECPLev"	"ReactorIP"	"ReactordP"	"ReactorCauLev"	"ClaydP"	"ClayOP"
"DepRate"	1	-0.0482834371626133	-0.430025386915389	0.278668336740093	-0.0221437809525931	-0.0941744139638352	-0.132376122068594	-0.103428812630841	0.448554421336361	0.598645615685955	0.210952371616204	0.1770303306315	-0.0051783725191601	-0.0200127646902595	-0.107466117412301	0.183108918630581	0.0567008580487451	0.364421054480109	0.0661436776696389	0.0780441913099136	0.292401599391342	0.00749759559564826
"D1"	-0.0482834371626133	1	-0.158154124082159	-0.140930038665668	-0.185270027844028	-0.132650935319536	-0.176775154161336	-0.17100651535358	-0.143620004588146	0.00326144465616892	-0.251331985081795	-0.3226385396019	0.785492601488502	-0.0116013762364604	-0.134584075348886	-0.302399063168935	-0.0130474185803289	0.0430702360708552	0.183039476033773	0.413178725843854	-0.085317643666828	0.410231262433687
"D2"	-0.430025386915389	-0.158154124082159	1	-0.110445334103211	-0.145194099982388	-0.103957091115441	-0.138536760135379	-0.13401594082336	-0.112553431055764	0.0295802797241958	-0.298568768908561	-0.204474095873937	-0.114998079957553	0.133901487355333	-0.0215738635210807	-0.104809979907213	0.0610026540775806	0.234023810395589	-0.0427501931959436	-0.206649128934646	0.0156357020270487	0.162443004077287
"D3"	0.278668336740093	-0.140930038665668	-0.110445334103211	1	-0.129381451437302	-0.0926354399892776	-0.123449142257921	-0.119420671649641	-0.100295578649611	0.0551107846971523	0.403524513897574	-0.283831843066917	-0.128918059374467	0.0734676309772773	-0.0594296932389818	-0.0932852273237467	0.142338808878772	0.18031967955544	-0.0316681827305828	-0.140329072369	-0.186784478583201	0.136121244225733
"D4"	-0.0221437809525931	-0.185270027844028	-0.145194099982388	-0.129381451437302	1	-0.121780783633164	-0.162289219814271	-0.156993295192158	-0.131850986666713	0.0157597404188268	0.178294792925871	-0.203033717567097	-0.00773751417358596	-0.0212064606845029	0.0797597022550076	-0.211839500746141	0.31044135562373	0.0295594290373971	0.175586690774008	-0.21051624449838	0.0520820550512224	0.0605250167173214
"D5"	-0.0941744139638352	-0.132650935319536	-0.103957091115441	-0.0926354399892776	-0.121780783633164	1	-0.116196975037778	-0.112405161744067	-0.0944035951614767	-0.0601790645580206	0.0199348852606956	-0.175191730858761	-0.093594143143432	-0.0815627824342271	0.057007563418389	-0.073584836624568	-0.0355805213032088	-0.213111974176289	0.016348925968021	-0.0223461513717842	-0.293937750451134	-0.126927317742854
"D6"	-0.132376122068594	-0.176775154161336	-0.138536760135379	-0.123449142257921	-0.162289219814271	-0.116196975037778	1	-0.149794946774951	-0.125805446059276	0.0932733330396512	0.144926112405318	0.384826494516314	-0.26031574359671	0.0916903401734376	0.0840200443618084	0.167910726902937	-0.109897527395259	-0.0110007627159792	-0.182293837624322	0.055776290642919	0.234722190074344	-0.0657466547024744
"D7"	-0.103428812630841	-0.17100651535358	-0.13401594082336	-0.119420671649641	-0.156993295192158	-0.112405161744067	-0.149794946774951	1	-0.121700083052763	-0.0280658877043973	0.0150096045736207	0.333971168351569	-0.168993498634306	-0.0160804943941494	0.0723189063388332	0.436451220904874	-0.217827498207358	-0.0295362477131919	0.0235678774968421	0.070689287312457	0.201403198184888	-0.198711619001465
"D8"	0.448554421336361	-0.143620004588146	-0.112553431055764	-0.100295578649611	-0.131850986666713	-0.0944035951614767	-0.125805446059276	-0.121700083052763	1	-0.206314187997024	-0.176424423738799	0.354451993293139	-0.071174043064415	-0.00706650699963591	0.0494869470556321	0.0405405029995222	-0.0768165162411209	-0.108555887554702	-0.109927930892068	0.0034726378774289	0.330352263195667	-0.352330577731554
"KerFeed"	0.598645615685955	0.00326144465616892	0.0295802797241958	0.0551107846971523	0.0157597404188268	-0.0601790645580206	0.0932733330396512	-0.0280658877043973	-0.206314187997024	1	0.166474311414609	-0.0276388044099328	0.00774848704251515	0.122213235952636	-0.117348080064	0.194456100689452	0.0942325981059699	0.718762415409152	0.166894229950837	0.0794683331558354	0.408327843139898	0.358187525613623
"KerTemp"	0.210952371616204	-0.251331985081795	-0.298568768908561	0.403524513897574	0.178294792925871	0.0199348852606956	0.144926112405318	0.0150096045736207	-0.176424423738799	0.166474311414609	1	-0.00508647864275545	-0.214283164941836	-0.0476846101607296	0.0180164059816597	0.0632853426282575	0.0771834516315894	0.108577206783547	-0.0301008238182796	-0.0789737359356325	-0.0731455359317628	0.034805359568281
"WaterLev"	0.1770303306315	-0.3226385396019	-0.204474095873937	-0.283831843066917	-0.203033717567097	-0.175191730858761	0.384826494516314	0.333971168351569	0.354451993293139	-0.0276388044099328	-0.00508647864275545	1	-0.313410750861028	-0.0622757638216628	0.13852624432193	0.485350465661379	-0.132256708177976	-0.0708969752820911	-0.162586801440103	0.0365221217041433	0.288612761021135	-0.271553331685907
"BrineLev"	-0.0051783725191601	0.785492601488502	-0.114998079957553	-0.128918059374467	-0.00773751417358596	-0.093594143143432	-0.26031574359671	-0.168993498634306	-0.071174043064415	0.00774848704251515	-0.214283164941836	-0.313410750861028	1	0.0761196506456226	-0.0936106051828137	-0.32993552282827	0.0995515296965409	0.0709668410298799	0.220060242498887	0.278355818309659	-0.103912445146207	0.393827120492587
"WaterpH"	-0.0200127646902595	-0.0116013762364604	0.133901487355333	0.0734676309772773	-0.0212064606845029	-0.0815627824342271	0.0916903401734376	-0.0160804943941494	-0.00706650699963591	0.122213235952636	-0.0476846101607296	-0.0622757638216628	0.0761196506456226	1	0.126088017320434	0.0109011479706177	0.107856542455476	0.161908063561546	0.0466139723223089	-0.053831590077818	0.254049226909606	0.125247412607753
"WCBootLev"	-0.107466117412301	-0.134584075348886	-0.0215738635210807	-0.0594296932389818	0.0797597022550076	0.057007563418389	0.0840200443618084	0.0723189063388332	0.0494869470556321	-0.117348080064	0.0180164059816597	0.13852624432193	-0.0936106051828137	0.126088017320434	1	0.0596599858392918	0.0350632772969207	-0.0584556813748604	0.0154056303699256	-0.0402939694734737	0.10332191753363	-0.0444174021761719
"ECPdP"	0.183108918630581	-0.302399063168935	-0.104809979907213	-0.0932852273237467	-0.211839500746141	-0.073584836624568	0.167910726902937	0.436451220904874	0.0405405029995222	0.194456100689452	0.0632853426282575	0.485350465661379	-0.32993552282827	0.0109011479706177	0.0596599858392918	1	-0.179063651724312	0.130061360086316	-0.188273511488844	0.0218969564157885	0.157989787327002	-0.0302429794287558
"ECPLev"	0.0567008580487451	-0.0130474185803289	0.0610026540775806	0.142338808878772	0.31044135562373	-0.0355805213032088	-0.109897527395259	-0.217827498207358	-0.0768165162411209	0.0942325981059699	0.0771834516315894	-0.132256708177976	0.0995515296965409	0.107856542455476	0.0350632772969207	-0.179063651724312	1	0.210476864508661	0.0759908992958936	-0.0632071273783041	0.0134909147142389	0.248971061049901
