"DepRate"	"D1"	"D2"	"D3"	"D4"	"D5"	"D6"	"D7"	"D8"	"KerFeed"	"KerTemp"	"WaterLev"	"BrineLev"	"WaterpH"	"WCBootLev"	"ECPdP"	"ECPLev"	"ReactorIP"	"ReactordP"	"ReactorCauLev"	"ClaydP"	"ClayOP"
"DepRate"	NA	0.0537885741256123	0	0	0.37666455768957	0.000164763089472775	1.11046531081627e-07	3.47537062834746e-05	0	0	0	1.05493391799882e-12	0.836232347780213	0.424311908855969	1.68981560126902e-05	1.68309810533174e-13	0.0234976347539591	0	0.00821113640303883	0.00180740511577215	0	0.764712498831653
"D1"	0.0537885741256123	NA	2.10707895575979e-10	1.56775252779795e-08	8.61533067109121e-14	1.04471808093365e-07	1.13775655563586e-12	6.10977934911716e-12	8.26221446814657e-09	0.896413832614845	0	0	0	0.643273284393694	6.77691229800104e-08	0	0.602465873926205	0.0854134190393883	1.71862524211974e-13	0	0.000644906376245924	0
"D2"	0	2.10707895575979e-10	NA	9.76259620943942e-06	5.64809043979153e-09	3.16708336878246e-05	2.74421902979327e-08	7.70103971703406e-08	6.56540887655765e-06	0.237577375493585	0	0	4.10769085923413e-06	7.90143319662207e-08	0.389072758796556	2.72349092287349e-05	0.0147926956034388	0	0.0877642068404203	0	0.53249982069334	6.66933175352824e-11
"D3"	0	1.56775252779795e-08	9.76259620943942e-06	NA	2.14227308115156e-07	0.000210679564077942	7.54209680042806e-07	1.7163212882032e-06	5.97514798119647e-05	0.0276919926059813	0	0	2.36845939749486e-07	0.00331725739500399	0.0175749706603534	0.00018999402877018	1.12263354168363e-08	3.93907129137006e-13	0.206061806264363	1.80599712962248e-08	5.37347943918576e-14	4.7826707039178e-08
"D4"	0.37666455768957	8.61533067109121e-14	5.64809043979153e-09	2.14227308115156e-07	NA	1.0635622302857e-06	6.95390411920016e-11	2.86145329653209e-10	1.24739976570254e-07	0.529252875190479	7.23865412055602e-13	2.22044604925031e-16	0.757415941376378	0.397202015556147	0.0014277448509441	0	0	0.237908379887705	1.61604063464438e-12	0	0.0374835163463771	0.0155934174752517
"D5"	0.000164763089472775	1.04471808093365e-07	3.16708336878246e-05	0.000210679564077942	1.0635622302857e-06	NA	3.25238475440415e-06	6.75275393469121e-06	0.000158790411220577	0.0161969337133205	0.426117392805697	1.81499260065721e-12	0.000180843319400603	0.00110897762461359	0.0227552946757237	0.00326735572116865	0.155381632953283	0	0.513968420818056	0.372317897803331	0	3.63086597232609e-07
"D6"	1.11046531081627e-07	1.13775655563586e-12	2.74421902979327e-08	7.54209680042806e-07	6.95390411920016e-11	3.25238475440415e-06	NA	1.81477055605228e-09	4.60619374198501e-07	0.000190354907964041	6.02770189317425e-09	0	0	0.000244565366429139	0.00077967709624005	1.47077905410242e-11	1.08102888507489e-05	0.660553514554224	2.16049400592055e-13	0.0258638532546653	0	0.00860497596776133
"D7"	3.47537062834746e-05	6.10977934911716e-12	7.70103971703406e-08	1.7163212882032e-06	2.86145329653209e-10	6.75275393469121e-06	1.81477055605228e-09	NA	1.08126930831176e-06	0.26246941140975	0.549041404267772	0	1.08371089879711e-11	0.520903423242029	0.00384433822090702	0	0	0.238276764913525	0.346741260071048	0.00472279466340275	4.44089209850063e-16	1.11022302462516e-15
"D8"	0	8.26221446814657e-09	6.56540887655765e-06	5.97514798119647e-05	1.24739976570254e-07	0.000158790411220577	4.60619374198501e-07	1.08126930831176e-06	NA	0	1.2623235789988e-12	0	0.00444419284109676	0.777875213372663	0.0480796062264153	0.105449745936727	0.00213377922047764	1.38480993396861e-05	1.07494343961623e-05	0.889747674276101	0	0
"KerFeed"	0	0.896413832614845	0.237577375493585	0.0276919926059813	0.529252875190479	0.0161969337133205	0.000190354907964041	0.26246941140975	0	NA	2.19868567796766e-11	0.269803551652734	0.757082737802687	9.73325149811188e-07	2.59362625243398e-06	4.44089209850063e-15	0.000163227069112981	0	1.95556904003524e-11	0.001486552850265	0	0
