"log1p.DepRate..1.comps"	"log1p.DepRate..2.comps"	"log1p.DepRate..3.comps"	"log1p.DepRate..4.comps"	"log1p.DepRate..5.comps"	"log1p.DepRate..6.comps"	"log1p.DepRate..7.comps"	"log1p.DepRate..8.comps"	"log1p.DepRate..9.comps"	"log1p.DepRate..10.comps"	"log1p.DepRate..11.comps"	"log1p.DepRate..12.comps"	"log1p.DepRate..13.comps"	"log1p.DepRate..14.comps"	"log1p.DepRate..15.comps"	"log1p.DepRate..16.comps"	"log1p.DepRate..17.comps"	"log1p.DepRate..18.comps"	"log1p.DepRate..19.comps"	"log1p.DepRate..20.comps"	"log1p.DepRate..21.comps"
"D1"	0.00512553879461952	-0.00913859106454687	-0.00597209834986354	0.00188555015257927	0.00659585976381357	0.00802868800586892	0.00847306147949511	0.00562117786725197	-0.00462591807492439	-0.00640773874407235	-0.00614265407330059	-0.00447121362535283	0.00324042522459287	0.000247519734989393	0.000420782169255764	0.00826216399087938	-0.010954260285244	0.0139146181266432	-0.0128180126843986	-0.0175622887161946	-0.0664600536803538
"D2"	0.00120835104409057	0.00746975576133499	0.00680805686505489	-0.0166903556600633	-0.0623139053873922	-0.0626929867018947	-0.0704699173708645	-0.06863284778221	-0.0885984046864106	-0.086374192874466	-0.0859658452188316	-0.0948661681727233	-0.111306816719146	-0.108917408752018	-0.133430871017915	-0.115765112909319	-0.124127048983695	-0.131635261687544	-0.151017189990477	-0.142453030800536	-0.175713767444825
"D3"	0.00128288318881079	0.00530760090238516	0.0024135109886168	0.0170793383890301	0.0105336070599647	0.0145183058205091	0.0649088874455676	0.051004514225853	0.0589697753331432	0.0567314334719665	0.057318358872193	0.0563932841862874	0.0440480680178156	0.0434355907336368	0.0682296112720884	0.0578833366944611	0.0688113226863467	0.0577856836625935	0.0299291163851461	0.0381465169843493	0.0107746273387345
"D4"	0.00140460525846504	0.00162413428387507	-0.000616282887271997	-0.0121794118876664	0.0284699209360982	0.0244002637330587	0.0104110915741081	0.0193765324061402	-0.0131169233142294	-0.014609456490038	-0.0153612263210385	-0.023062905804857	-0.00101158603838406	0.00344018335159458	0.0124213032196964	-0.00109187153123441	0.010285218303824	0.00455182290014863	-0.0103811568326697	-0.00838891850974532	-0.0495413494267833
"D5"	-0.000472233140703823	-0.0216544603204793	-0.0226900337373305	-0.0160990336163725	-0.0267309606643342	-0.0291718663976967	-0.0669415945252553	-0.0642326051435451	0.0256257526401902	0.0377309724250789	0.0368994164405853	0.0410422979657049	0.0478079181265749	0.0455393065760819	0.0373492609820879	0.0132300929545179	0.0118148801687837	0.00639387150326354	-0.0110988221964246	-0.00913624697318398	-0.032621507896317
"D6"	-0.00259379052859443	0.0159363443274517	0.016279031123433	0.0236652415345133	0.0284774926269477	0.037352313004373	-0.0146629397948825	-0.010342888262678	-0.0271623983146898	-0.0426440098482529	-0.0421544099933835	-0.036256150103134	-0.0506341839494742	-0.0523107364533132	-0.046014548859817	-0.0590931511781688	-0.0767665407708214	-0.0878454367308364	-0.064684308350564	-0.0628789880764767	-0.0982068431775486
"D7"	-0.0030490753349683	0.00972057033585694	0.0109936026845782	0.0208704375994565	0.0171867298483228	0.00692895216752709	0.0203637736260368	0.00967545820692126	-0.0150059476771231	-0.0176438350865164	-0.0184794244073932	-0.0229152411575084	-0.0364492125729407	-0.0417863408081741	-0.0512785340783306	-0.0698294687837826	-0.0660065566517467	-0.0689797228846987	-0.0390649642980596	-0.0330522876554287	-0.0664684695696474
"D8"	-0.00285390789122057	-0.00516630520241811	-0.00366971219448112	-0.0217859563662353	-0.00562722616993868	-0.00178472910387031	0.0511879937956055	0.0528806560619501	0.0970818319825985	0.105937838302398	0.106518510957929	0.109734065081963	0.121487844023386	0.124354839605116	0.114493262931457	0.112813019696444	0.102702245500492	0.102788713665585	0.138072160593134	0.146451363359374	0.112659514775067
"KerFeed"	0.00234493502658611	0.0457619584008046	0.0456060610164837	0.0524962393860175	0.0488958656508677	0.0480820303298787	0.0423807835252574	0.052228144440198	0.0862573212289975	0.0832016521189498	0.0826969065805039	0.0783574980827558	0.0865436791638206	0.0841317764925584	0.0983686699050945	0.152498727481004	0.181037358882086	0.185124031730549	0.200954950198048	0.217985280006303	0.2059622282545
"KerTemp"	-0.000509163372726626	0.0117401112314555	0.00883211011268289	0.031581393040139	0.0520718402596728	0.0537146974254177	0.0611223523190039	0.0589456860530845	0.0605229999058559	0.0561209098438825	0.0562496311055629	0.0505081786964891	0.0560762211126296	0.0571120279716434	0.00706345921830934	0.0254226340405974	0.00430232120393684	0.00812837199183728	0.00452970327811675	0.0051508090882759	0.00740178876940866
