"row"	"column"	"cor"	"p"
"1"	"D1"	"D2"	-0.158154124082159	2.10707895575979e-10
"2"	"D1"	"D3"	-0.140930038665668	1.56775252779795e-08
"3"	"D2"	"D3"	-0.110445334103211	9.76259620943942e-06
"4"	"D1"	"D4"	-0.185270027844028	8.61533067109121e-14
"5"	"D2"	"D4"	-0.145194099982388	5.64809043979153e-09
"6"	"D3"	"D4"	-0.129381451437302	2.14227308115156e-07
"7"	"D1"	"D5"	-0.132650935319536	1.04471808093365e-07
"8"	"D2"	"D5"	-0.103957091115441	3.16708336878246e-05
"9"	"D3"	"D5"	-0.0926354399892776	0.000210679564077942
"10"	"D4"	"D5"	-0.121780783633164	1.0635622302857e-06
"11"	"D1"	"D6"	-0.176775154161336	1.13775655563586e-12
"12"	"D2"	"D6"	-0.138536760135379	2.74421902979327e-08
"13"	"D3"	"D6"	-0.123449142257921	7.54209680042806e-07
"14"	"D4"	"D6"	-0.162289219814271	6.95390411920016e-11
"15"	"D5"	"D6"	-0.116196975037778	3.25238475440415e-06
"16"	"D1"	"D7"	-0.17100651535358	6.10977934911716e-12
"17"	"D2"	"D7"	-0.13401594082336	7.70103971703406e-08
"18"	"D3"	"D7"	-0.119420671649641	1.7163212882032e-06
"19"	"D4"	"D7"	-0.156993295192158	2.86145329653209e-10
"20"	"D5"	"D7"	-0.112405161744067	6.75275393469121e-06
"21"	"D6"	"D7"	-0.149794946774951	1.81477055605228e-09
"22"	"D1"	"D8"	-0.143620004588146	8.26221446814657e-09
"23"	"D2"	"D8"	-0.112553431055764	6.56540887655765e-06
"24"	"D3"	"D8"	-0.100295578649611	5.97514798119647e-05
"25"	"D4"	"D8"	-0.131850986666713	1.24739976570254e-07
"26"	"D5"	"D8"	-0.0944035951614767	0.000158790411220577
"27"	"D6"	"D8"	-0.125805446059276	4.60619374198501e-07
"28"	"D7"	"D8"	-0.121700083052763	1.08126930831176e-06
"29"	"D1"	"KerFeed"	0.00326144465616892	0.896413832614845
"30"	"D2"	"KerFeed"	0.0295802797241958	0.237577375493585
"31"	"D3"	"KerFeed"	0.0551107846971523	0.0276919926059813
"32"	"D4"	"KerFeed"	0.0157597404188268	0.529252875190479
"33"	"D5"	"KerFeed"	-0.0601790645580206	0.0161969337133205
"34"	"D6"	"KerFeed"	0.0932733330396512	0.000190354907964041
"35"	"D7"	"KerFeed"	-0.0280658877043973	0.26246941140975
"36"	"D8"	"KerFeed"	-0.206314187997024	0
"37"	"D1"	"KerTemp"	-0.251331985081795	0
"38"	"D2"	"KerTemp"	-0.298568768908561	0
"39"	"D3"	"KerTemp"	0.403524513897574	0
"40"	"D4"	"KerTemp"	0.178294792925871	7.23865412055602e-13
"41"	"D5"	"KerTemp"	0.0199348852606956	0.426117392805697
"42"	"D6"	"KerTemp"	0.144926112405318	6.02770189317425e-09
"43"	"D7"	"KerTemp"	0.0150096045736207	0.549041404267772
"44"	"D8"	"KerTemp"	-0.176424423738799	1.2623235789988e-12
"45"	"KerFeed"	"KerTemp"	0.166474311414609	2.19868567796766e-11
"46"	"D1"	"WaterLev"	-0.3226385396019	0
"47"	"D2"	"WaterLev"	-0.204474095873937	0
"48"	"D3"	"WaterLev"	-0.283831843066917	0
"49"	"D4"	"WaterLev"	-0.203033717567097	2.22044604925031e-16
"50"	"D5"	"WaterLev"	-0.175191730858761	1.81499260065721e-12
"51"	"D6"	"WaterLev"	0.384826494516314	0
"52"	"D7"	"WaterLev"	0.333971168351569	0
"53"	"D8"	"WaterLev"	0.354451993293139	0
"54"	"KerFeed"	"WaterLev"	-0.0276388044099328	0.269803551652734
"55"	"KerTemp"	"WaterLev"	-0.00508647864275545	0.83909847860126
"56"	"D1"	"BrineLev"	0.785492601488502	0
"57"	"D2"	"BrineLev"	-0.114998079957553	4.10769085923413e-06
"58"	"D3"	"BrineLev"	-0.128918059374467	2.36845939749486e-07
"59"	"D4"	"BrineLev"	-0.00773751417358596	0.757415941376378
"60"	"D5"	"BrineLev"	-0.093594143143432	0.000180843319400603
"61"	"D6"	"BrineLev"	-0.26031574359671	0
"62"	"D7"	"BrineLev"	-0.168993498634306	1.08371089879711e-11
"63"	"D8"	"BrineLev"	-0.071174043064415	0.00444419284109676
"64"	"KerFeed"	"BrineLev"	0.00774848704251515	0.757082737802687
"65"	"KerTemp"	"BrineLev"	-0.214283164941836	0
"66"	"WaterLev"	"BrineLev"	-0.313410750861028	0
"67"	"D1"	"WaterpH"	-0.0116013762364604	0.643273284393694
"68"	"D2"	"WaterpH"	0.133901487355333	7.90143319662207e-08
"69"	"D3"	"WaterpH"	0.0734676309772773	0.00331725739500399
"70"	"D4"	"WaterpH"	-0.0212064606845029	0.397202015556147
"71"	"D5"	"WaterpH"	-0.0815627824342271	0.00110897762461359
"72"	"D6"	"WaterpH"	0.0916903401734376	0.000244565366429139
"73"	"D7"	"WaterpH"	-0.0160804943941494	0.520903423242029
"74"	"D8"	"WaterpH"	-0.00706650699963591	0.777875213372663
"75"	"KerFeed"	"WaterpH"	0.122213235952636	9.73325149811188e-07
