DepRate,D1,D2,D3,D4,D5,D6,D7,D8,KerFeed,KerTemp,WaterLev,BrineLev,WaterpH,WCBootLev,ECPdP,ECPLev,ReactorIP,ReactordP,ReactorCauLev,ClaydP,ClayOP,KerFeed,KerTemp,WaterLev,BrineLev,WaterpH,WCBootLev,ECPdP,ECPLev,ReactorIP,ReactordP,ReactorCauLev,ClaydP,ClayOP
,,,,,,,,,7.257641479,35.0380636,43.33281203,40.13892143,11.6797619,46.14468672,20.69176065,79.37341479,752.6021679,20.06041353,54.760401,53.41314536,666.9910464,5.9287E-15,-1.0892E-14,-2.86606E-15,2.8271E-15,1.566E-15,-2.63608E-15,-1.42936E-14,-2.06783E-14,2.74718E-15,1.42764E-15,2.51428E-15,-3.4684E-15,2.06017E-15
,,,,,,,,,1.575463686,3.187910414,11.81208944,8.287310879,0.704539662,11.11382252,3.184745965,6.750589712,84.08069851,12.184013,13.08833941,22.68715485,61.75234731,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0789,1,0,0,0,0,0,0,0,1.4568,29.9759,0,27.8749,0,0,5.32,21.48,438.47,0.06,62.07,0.01,239.19,-3.681989964,-1.587925299,-3.668513709,-1.47985536,-16.57786286,-4.152008602,-4.826683453,-8.576052946,-3.736079427,-1.641529235,0.558481773,-2.353893457,-6.927688825
6.8048,1,0,0,0,0,0,0,0,4.7686,32.2961,29.5534,20.6111,0,0,13.96,67.92,680.36,0.78,96.21,0.26,736.14,-1.579878674,-0.860113127,-1.166551617,-2.356351984,-16.57786286,-4.152008602,-2.113751214,-1.696653963,-0.859200378,-1.582435404,3.166910461,-2.342874006,1.119778545
6.9246,1,0,0,0,0,0,0,0,4.8525,31.5631,35.1195,30.6069,11,48.42,14,76,744.72,14.14,99.32,0,780.06,-1.526624511,-1.090044306,-0.695331006,-1.150194746,-0.964831275,0.204728236,-2.101191343,-0.499721496,-0.093745272,-0.485916548,3.404526548,-2.354334235,1.83100657
6.9667,1,0,0,0,0,0,0,0,4.8821,32.0333,42.6689,58.0214,11,48.9,14,76.29,743.4,5.25,93.74,15.67,779.98,-1.507836392,-0.942549572,-0.056206147,2.157814378,-0.964831275,0.247917697,-2.101191343,-0.456762286,-0.109444475,-1.215561206,2.978192861,-1.663635022,1.829711073
7.1494,1,0,0,0,0,0,0,0,5.0101,30.8352,30.9678,54.9784,11,49.45,14,80.85,744.61,0.26,96.92,28.03,780,-1.426590469,-1.318375691,-1.046809889,1.790626512,-0.964831275,0.29740562,-2.101191343,0.218734255,-0.095053539,-1.625114282,3.22115722,-1.118833346,1.830034947
7.1572,1,0,0,0,0,0,0,0,5.0156,28.6146,26.8777,61.0175,13,48.26,14,76.01,745.53,0,98.78,28.43,780.04,-1.423099434,-2.014944826,-1.393073776,2.51934299,1.87390174,0.190331749,-2.101191343,-0.498240144,-0.084111669,-1.646453721,3.36326845,-1.101202223,1.830682696
7.2385,1,0,0,0,0,0,0,0,5.0725,28.2381,26.5947,61.6175,13,49.91,14,76,745.51,0,73.81,29.83,780.03,-1.386983082,-2.133047267,-1.41703228,2.591742832,1.87390174,0.33879552,-2.101191343,-0.499721496,-0.084349536,-1.646453721,1.455463401,-1.039493296,1.830520758
7.2252,1,0,0,0,0,0,0,0,5.0632,28.8327,27.4008,59.7742,13,47.59,14,76,742.71,0.03,59.87,31.38,776.02,-1.392886106,-1.946530106,-1.348788639,2.369318451,1.87390174,0.130046461,-2.101191343,-0.499721496,-0.117650877,-1.643991478,0.390393222,-0.971172697,1.765583956
