DepRate,D1,D2,D3,D4,D5,D6,D7,D8,KerFeed,KerTemp,WaterLev,BrineLev,WaterpH,WCBootLev,ECPdP,ECPLev,ReactorIP,ReactordP,ReactorCauLev,ClaydP,ClayOP
2.0789,1,0,0,0,0,0,0,0,-3.681989964,-1.587925299,-3.668513709,-1.47985536,-16.57786286,-4.152008602,-4.826683453,-8.576052946,-3.736079427,-1.641529235,0.558481773,-2.353893457,-6.927688825
6.8048,1,0,0,0,0,0,0,0,-1.579878674,-0.860113127,-1.166551617,-2.356351984,-16.57786286,-4.152008602,-2.113751214,-1.696653963,-0.859200378,-1.582435404,3.166910461,-2.342874006,1.119778545
6.9246,1,0,0,0,0,0,0,0,-1.526624511,-1.090044306,-0.695331006,-1.150194746,-0.964831275,0.204728236,-2.101191343,-0.499721496,-0.093745272,-0.485916548,3.404526548,-2.354334235,1.83100657
6.9667,1,0,0,0,0,0,0,0,-1.507836392,-0.942549572,-0.056206147,2.157814378,-0.964831275,0.247917697,-2.101191343,-0.456762286,-0.109444475,-1.215561206,2.978192861,-1.663635022,1.829711073
7.1494,1,0,0,0,0,0,0,0,-1.426590469,-1.318375691,-1.046809889,1.790626512,-0.964831275,0.29740562,-2.101191343,0.218734255,-0.095053539,-1.625114282,3.22115722,-1.118833346,1.830034947
7.1572,1,0,0,0,0,0,0,0,-1.423099434,-2.014944826,-1.393073776,2.51934299,1.87390174,0.190331749,-2.101191343,-0.498240144,-0.084111669,-1.646453721,3.36326845,-1.101202223,1.830682696
7.2385,1,0,0,0,0,0,0,0,-1.386983082,-2.133047267,-1.41703228,2.591742832,1.87390174,0.33879552,-2.101191343,-0.499721496,-0.084349536,-1.646453721,1.455463401,-1.039493296,1.830520758
7.2252,1,0,0,0,0,0,0,0,-1.392886106,-1.946530106,-1.348788639,2.369318451,1.87390174,0.130046461,-2.101191343,-0.499721496,-0.117650877,-1.643991478,0.390393222,-0.971172697,1.765583956
7.1083,1,0,0,0,0,0,0,0,-1.444870802,-0.181988676,-1.275219944,2.036894575,1.87390174,0.231721649,-2.101191343,-0.499721496,-0.891193452,-1.125278965,0.676143758,-0.886102532,0.697770296
7.6518,1,0,0,0,0,0,0,0,-1.203164183,0.023004537,-1.362545731,1.887847433,1.87390174,0.194830652,-2.101191343,-0.499721496,-0.860389711,-0.723933365,1.345441805,-0.811170263,0.695665112
9.3866,1,0,0,0,0,0,0,0,-0.431518343,0.794105252,-1.674692029,2.283114372,1.87390174,0.106652169,-2.098051375,-0.499721496,-0.721832347,-0.564708322,1.161308438,-0.541854871,0.69582705
13.655,1,0,0,0,0,0,0,0,1.467097301,0.777699521,-0.796633998,2.353873151,0.880345455,0.123747998,-2.101191343,-0.499721496,-0.230994369,-0.088674687,-0.48366724,0.149725898,0.835416885
13.9102,1,0,0,0,0,0,0,0,1.580587699,0.750848077,-0.118269679,2.24709545,0.170662201,0.386483883,-2.101191343,-0.499721496,0.211318797,0.410339883,1.925347304,0.15148901,1.306977907
14.0459,1,0,0,0,0,0,0,0,1.64095088,0.717252402,-0.513847449,2.273967858,0.880345455,0.020273248,-2.101191343,-0.498240144,0.301589218,0.674620625,3.074461758,0.218487275,1.345680889
14.5975,1,0,0,0,0,0,0,0,1.886338954,0.67035648,-0.241465496,2.150743327,-0.539021053,0.148042069,-2.101191343,-0.496758791,0.21036733,1.060372019,2.458646432,0.332648791,1.060995355
14.9435,1,0,0,0,0,0,0,0,2.040198419,0.813240043,-0.286808871,2.270770199,-0.397085211,0.222723845,-2.101191343,-0.513053664,0.773516791,5.368476418,2.067458533,0.409784951,0.938894733
14.7221,1,0,0,0,0,0,0,0,1.941751212,0.543314014,-0.925722082,2.25779856,0.028725011,0.131846021,-2.101191343,-0.247891645,0.972968036,6.803143305,2.094963932,0.398324721,0.968043422
14.8067,1,0,0,0,0,0,0,0,1.979390925,0.434057493,-1.477707405,2.568430083,0.028725011,0.301904523,-1.535997127,0.09281933,1.086311528,6.804784801,-0.50429629,0.419922846,1.087229175
11.3424,1,0,0,0,0,0,0,0,0.438447758,0.271976402,-0.056620976,2.266776141,0.028725011,-0.128190523,-1.627056195,0.08541257,1.438116407,10.1550767,-0.699890239,-0.272539479,1.227628697
9.4384,1,0,0,0,0,0,0,0,-0.408477507,0.199703354,-0.010354817,2.234799544,0.028725011,0.126447339,-2.101191343,0.254286705,0.756747187,6.180195841,-0.618138081,-0.568742332,1.343089895
8.4057,1,0,0,0,0,0,0,0,-0.867770861,-0.859266178,0.018937206,2.215541186,0.028725011,0.325298814,-2.104331311,0.09281933,1.337379851,10.76981668,-0.658632141,-0.748579779,1.354425496
8.8433,1,0,0,0,0,0,0,0,-0.673161488,-0.810488144,0.043581449,2.112986809,0.028725011,0.071560733,-2.101191343,0.091337978,2.138158166,15.92329116,-0.499712056,-0.560367549,1.344871203
8.0417,1,0,0,0,0,0,0,0,-1.029691445,-1.664056672,0.052953203,2.277744717,0.596472423,-0.769733969,-2.101191343,0.094300682,2.298004602,17.40474066,-0.204029015,-0.703620417,1.341956334
8.0663,1,0,0,0,0,0,0,0,-1.018774024,-0.492568295,-0.230315902,2.380769692,-0.397085211,0.607829868,-2.101191343,0.094300682,1.324891849,10.90770229,-0.144433984,-0.800150812,1.344223455
9.2385,1,0,0,0,0,0,0,0,-0.497403708,-0.051025147,-0.356051489,2.508229614,-0.397085211,0.701407033,-2.066651696,0.072080401,0.360342298,3.657217574,0.441583826,-0.56918311,1.335154973
10.4893,1,0,0,0,0,0,0,0,0.058940439,0.071908044,-0.796185305,2.625348426,0.170662201,1.875620493,-2.006992307,0.076524457,0.254848407,2.287389751,0.686076263,-0.274302591,1.300986232
11.5813,1,0,0,0,0,0,0,0,0.544702191,0.000701526,-1.270986993,1.755440188,0.454535233,2.147354183,-2.013272243,0.138741244,0.363077765,2.355511806,0.783873238,0.01793326,1.27880084
12.6736,1,0,0,0,0,0,0,0,1.03059089,-0.070504991,-1.74578868,0.885544018,0.454535233,2.419087872,-2.019552178,0.20095803,0.471188189,2.424454609,0.882434252,0.31016911,1.256615449
13.4239,1,0,0,0,0,0,0,0,1.364270431,-0.119502604,-2.210261967,1.154750764,0.596472423,1.040624255,-2.063511729,0.172812341,0.949538164,5.077111004,0.538616762,0.483394886,1.290622253
13.2645,1,0,0,0,0,0,0,0,1.293370669,-0.34319145,0.203697067,2.230190087,0.596472423,-0.002221262,-2.101191343,0.091337978,0.695020773,3.39704057,1.163600555,0.31942545,1.344547329
12.1517,1,0,0,0,0,0,0,0,0.798405278,-1.09101673,-0.680955903,2.156402581,0.596472423,-0.022916212,-2.104331311,0.089856626,0.195976394,0.599932589,1.660225817,0.123719993,1.344547329
11.0688,1,0,0,0,0,0,0,0,0.316769295,-1.080602385,-1.260201433,2.242365327,0.596472423,0.06526227,-2.101191343,0.095782034,0.042433426,0.178889046,1.891729594,-0.087412696,1.342927957
11.035,1,0,0,0,0,0,0,0,0.301726105,-1.064573076,-1.617564118,2.193133435,0.596472423,0.139944045,-2.101191343,0.091337978,0.089174236,0.385717453,1.389756059,-0.026585324,1.343575706
10.8403,1,0,0,0,0,0,0,0,0.215084946,-0.926332052,-1.386072474,2.21207806,0.596472423,-0.131789644,-2.101191343,0.094300682,0.12081051,0.681186606,1.386699903,-0.053032007,1.343413769
10.859,1,0,0,0,0,0,0,0,0.223463431,-0.761176847,-0.047714846,2.231819084,0.596472423,0.268612647,-2.101191343,0.091337978,0.019360354,0.197766242,1.850471495,-0.174686751,1.342927957
10.3748,1,0,0,0,0,0,0,0,0.008098264,-0.658915504,-0.555431964,2.264495546,0.596472423,0.146242508,-1.523437255,0.095782034,-0.080305802,-0.116580107,2.084267388,-0.321025065,1.341956334
0.9022,1,0,0,0,0,0,0,0,-4.205391428,-1.577918744,-0.654999445,2.193736767,0.596472423,1.46981952,-5.818913299,-0.083461566,-5.43016621,-1.067005882,-2.04689076,-2.144083103,-3.670484706
6.1791,1,0,0,0,0,0,0,0,-1.858209431,-1.731498969,0.117717359,2.565220357,0.596472423,0.52774941,-2.594166298,0.012826318,-0.697807808,0.39392493,-0.181107849,-1.750027521,-0.470120532
7.1078,1,0,0,0,0,0,0,0,-1.445124695,-1.691378645,-0.449117157,1.088975508,-0.539021053,0.160638995,-2.101191343,0.089856626,-0.741099551,-0.278267393,0.887782524,-0.94781146,0.860031334
10.7505,1,0,0,0,0,0,0,0,0.175160192,-1.558721216,-0.640632809,1.16302848,0.312598043,0.252416599,-2.101191343,0.094300682,-0.388462138,0.211718952,-0.089423185,-0.257993803,0.86084102
10.632,1,0,0,0,0,0,0,0,0.122413816,-1.637048385,-0.731598933,2.39399473,0.312598043,0.112050852,-2.101191343,0.09281933,-0.293553317,0.665592401,0.139024435,-0.147358511,0.859221648
10.141,1,0,0,0,0,0,0,0,-0.0959346,-2.01234124,-1.055275792,2.225085898,0.454535233,1.074815911,-2.088631472,0.094300682,0.177898523,2.49011442,-0.35607275,-0.251382132,1.179371422
10.1127,1,0,0,0,0,0,0,0,-0.108565802,-2.101553283,-1.468267924,2.403213643,0.454535233,1.191787367,-2.101191343,0.089856626,0.568594611,4.044610464,-0.271264436,-0.363780537,1.344709266
10.79,1,0,0,0,0,0,0,0,0.192742317,-2.203877363,-1.930624734,2.309045582,0.738408265,1.170192637,-2.101191343,0.091337978,0.112485175,1.043136319,-0.016839493,-0.258875359,1.343413769
12.3874,1,0,0,0,0,0,0,0,0.903263296,-2.045152702,-1.552368201,2.357674143,0.738408265,1.183689343,-2.101191343,0.09281933,0.244739071,0.997995198,-0.017603532,0.019255594,1.343251832
12.6209,1,0,0,0,0,0,0,0,1.00710574,-1.804368018,-1.360099085,2.278710048,0.880345455,-0.380129043,-2.101191343,0.091337978,0.549208474,2.453180776,0.443875943,0.126364661,1.34276602
11.9982,1,0,0,0,0,0,0,0,0.730107924,-1.823659652,-1.245284512,2.317624963,0.880345455,-0.87770762,-2.101191343,0.091337978,0.884362682,4.948253623,0.676907797,0.032038157,1.342927957
11.3715,1,0,0,0,0,0,0,0,0.451396327,-1.829682406,-0.538677942,2.312448375,0.880345455,-1.948446331,-2.101191343,0.09281933,0.541715672,3.460238139,0.893130796,-0.117826382,1.343737643
11.4221,1,0,0,0,0,0,0,0,0.473865903,-1.88834152,-0.87993848,2.189151443,0.596472423,-2.777144106,-2.101191343,0.094300682,0.306346552,1.668546026,1.212499042,-0.056117454,1.342927957
11.4839,1,0,0,0,0,0,0,0,0.501349875,-1.846684138,-1.261852284,2.243004859,0.880345455,-1.692908689,-2.101191343,0.091337978,0.185153458,0.767365109,1.677034672,-0.046861115,1.345357015
11.7454,1,0,0,0,0,0,0,0,0.617696574,-1.755150826,-1.609614635,2.209001067,0.880345455,-2.841928297,-2.101191343,0.09281933,0.152327851,0.425934088,1.366070854,-0.017328985,1.343575706
13.6707,1,0,0,0,0,0,0,0,1.474079373,-1.468254433,-2.155411383,2.326373277,0.880345455,-2.846427199,-2.101191343,1.082362508,0.306822285,0.437424555,0.341494735,0.254631075,1.345518952
13.9319,1,0,0,0,0,0,0,0,1.590235652,-1.482464368,-2.586833785,2.203281479,0.880345455,-1.008175782,-2.101191343,0.09281933,0.327278823,0.307746427,0.456864604,0.33970124,1.343575706
13.7932,1,0,0,0,0,0,0,0,1.52853953,-1.387229571,-2.270793171,2.247879782,0.880345455,-2.78524213,-2.101191343,0.09281933,0.332987625,0.245369606,0.582166978,0.396120831,1.344709266
13.6176,1,0,0,0,0,0,0,0,1.450403803,-1.593257945,-1.772684853,2.18151326,0.880345455,-2.664671552,-2.101191343,0.09281933,0.352611629,0.207615214,0.720458012,0.487361889,1.343737643
