deprate,kerfeed,kertemp,waterph,waterlev,brinelev
0,0,28.7798,0,0,45.0665
0,0,30.8833,0,0,36.4707
2.0789,1.4568,29.9759,0,0,27.8749
6.8048,4.7686,32.2961,0,29.5534,20.6111
6.9246,4.8525,31.5631,11,35.1195,30.6069
6.9667,4.8821,32.0333,11,42.6689,58.0214
7.1494,5.0101,30.8352,11,30.9678,54.9784
7.1572,5.0156,28.6146,13,26.8777,61.0175
7.2385,5.0725,28.2381,13,26.5947,61.6175
7.2252,5.0632,28.8327,13,27.4008,59.7742
7.1083,4.9813,34.4579,13,28.2698,57.0193
7.6518,5.3621,35.1114,13,27.2383,55.7841
9.3866,6.5778,37.5696,13,23.5512,59.0598
13.655,9.569,37.5173,12.3,33.9229,59.6462
13.9102,9.7478,37.4317,11.8,41.9358,58.7613
14.0459,9.8429,37.3246,12.3,37.2632,58.984
14.5975,10.2295,37.1751,11.3,40.4806,57.9628
14.9435,10.4719,37.6306,11.4,39.945,58.9575
14.7221,10.3168,36.7701,11.7,32.3981,58.85
14.8067,10.3761,36.4218,11.7,25.878,61.4243
11.3424,7.9484,35.9051,11.7,42.664,58.9244
9.4384,6.6141,35.6747,11.7,43.2105,58.6594
8.4057,5.8905,32.2988,11.7,43.5565,58.4998
8.8433,6.1971,32.4543,11.7,43.8476,57.6499
8.0417,5.6354,29.7332,12.1,43.9583,59.0153
8.0663,5.6526,33.4678,11.4,40.6123,59.8691
9.2385,6.474,34.8754,11.4,39.1271,60.9254
10.4893,7.3505,35.2673,11.8,33.9282,61.896
11.5813,8.1158,35.0403,12,28.3198,54.6868
12.6736,8.8813,34.8133,12,22.7114,47.4777
13.4239,9.407,34.6571,12.1,17.225,49.7087
13.2645,9.2953,33.944,12.1,45.7389,58.6212
12.1517,8.5155,31.56,12.1,35.2893,58.0097
11.0688,7.7567,31.5932,12.1,28.4472,58.7221
11.035,7.733,31.6443,12.1,24.226,58.3141
10.8403,7.5965,32.085,12.1,26.9604,58.4711
