DepRate,KerFeed,KerTemp,WaterLev,BrineLev,WaterpH
2.0789,1.4568,29.9759,0,27.8749,0
6.8048,4.7686,32.2961,29.5534,20.6111,0
6.9246,4.8525,31.5631,35.1195,30.6069,11
6.9667,4.8821,32.0333,42.6689,58.0214,11
7.1494,5.0101,30.8352,30.9678,54.9784,11
7.1572,5.0156,28.6146,26.8777,61.0175,13
7.2385,5.0725,28.2381,26.5947,61.6175,13
7.2252,5.0632,28.8327,27.4008,59.7742,13
7.1083,4.9813,34.4579,28.2698,57.0193,13
7.6518,5.3621,35.1114,27.2383,55.7841,13
9.3866,6.5778,37.5696,23.5512,59.0598,13
13.655,9.569,37.5173,33.9229,59.6462,12.30000019
13.9102,9.7478,37.4317,41.9358,58.7613,11.80000019
14.0459,9.8429,37.3246,37.2632,58.984,12.30000019
14.5975,10.2295,37.1751,40.4806,57.9628,11.30000019
14.9435,10.4719,37.6306,39.945,58.9575,11.39999962
14.7221,10.3168,36.7701,32.3981,58.85,11.69999981
14.8067,10.3761,36.4218,25.878,61.4243,11.69999981
11.3424,7.9484,35.9051,42.664,58.9244,11.69999981
9.4384,6.6141,35.6747,43.2105,58.6594,11.69999981
8.4057,5.8905,32.2988,43.5565,58.4998,11.69999981
8.8433,6.1971,32.4543,43.8476,57.6499,11.69999981
8.0417,5.6354,29.7332,43.9583,59.0153,12.10000038
8.0663,5.6526,33.4678,40.6123,59.8691,11.39999962
9.2385,6.474,34.8754,39.1271,60.9254,11.39999962
10.4893,7.3505,35.2673,33.9282,61.896,11.80000019
11.5813,8.1158,35.0403,28.3198,54.6868,12
12.6736,8.8813,34.8133,22.7114,47.4777,12
13.4239,9.407,34.6571,17.225,49.7087,12.10000038
13.2645,9.2953,33.944,45.7389,58.6212,12.10000038
12.1517,8.5155,31.56,35.2893,58.0097,12.10000038
11.0688,7.7567,31.5932,28.4472,58.7221,12.10000038
11.035,7.733,31.6443,24.226,58.3141,12.10000038
10.8403,7.5965,32.085,26.9604,58.4711,12.10000038
10.859,7.6097,32.6115,42.7692,58.6347,12.10000038
10.3748,7.2704,32.9375,36.772,58.9055,12.10000038
0.9022,0.6322,30.0078,35.5959,58.3191,12.10000038
6.1791,4.3301,29.5182,44.7233,61.3977,12.10000038
7.1078,4.9809,29.6461,38.0278,49.1636,11.30000019
10.7505,7.5336,30.069,35.7656,49.7773,11.89999962
10.632,7.4505,29.8193,34.6911,59.9787,11.89999962
10.141,7.1065,28.6229,30.8678,58.5789,12
10.1127,7.0866,28.3385,25.9895,60.0551,12
10.79,7.5613,28.0123,20.5281,59.2747,12.19999981
12.3874,8.6807,28.5183,24.9961,59.6777,12.19999981
12.6209,8.8443,29.2859,27.2672,59.0233,12.30000019
11.9982,8.4079,29.2244,28.6234,59.3458,12.30000019
11.3715,7.9688,29.2052,36.9699,59.3029,12.30000019
11.4221,8.0042,29.0182,32.9389,58.2811,12.10000038
11.4839,8.0475,29.151,28.4277,58.7274,12.30000019
11.7454,8.2308,29.4428,24.3199,58.4456,12.30000019
13.6707,9.58,30.3574,17.8729,59.4183,12.30000019
13.9319,9.763,30.3121,12.7769,58.3982,12.30000019
13.7932,9.6658,30.6157,16.51,58.7678,12.30000019
13.6176,9.5427,29.9589,22.3937,58.2178,12.30000019
13.3713,9.3702,30.2904,23.5852,58.4594,12.30000019
13.7495,9.6352,30.5021,23.4437,58.7127,12.30000019
13.7862,9.6609,30.2929,27.736,58.7447,12.30000019
13.0859,9.1702,29.4846,22.3928,58.7406,12.30000019
11.0008,7.709,30.1526,21.5017,58.4512,12.30000019
8.3441,5.8473,30.3463,21.6148,58.8031,12.30000019
8.2301,5.7674,30.4235,27.007,59.9635,11.69999981
8.3091,5.8227,30.0182,25.3967,57.8647,11.80000019
8.1042,5.6792,30.4256,26.6295,59.8091,11.30000019
6.9929,4.9004,30.2908,33.71,58.6501,12.19999981
7.074,4.9573,30.9174,32.0082,58.1237,12.19999981
7.1524,5.0122,31.2761,28.5052,60.6485,12.19999981
7.3349,5.14,31.4391,27.7473,58.1814,12.19999981
7.4443,5.2167,30.9594,27.4444,60.6451,12.19999981
7.3917,5.1798,31.0228,26.9078,58.3061,12.19999981
7.3148,5.126,30.4925,27.1347,59.0477,12.19999981
7.465,5.2312,31.0161,25.6309,60.4559,12.19999981
8.6339,6.0504,30.5327,21.5105,59.6941,12.19999981
10.9418,7.6677,31.1197,27.6302,59.5298,12.19999981
11.0848,7.7678,31.2427,36.1412,59.4204,12.19999981
10.924,7.6552,31.5347,31.9399,59.5347,12.19999981
11.0442,7.7394,30.4527,30.9212,59.2995,12.19999981
10.8107,7.5758,30.5132,28.4911,59.354,12.19999981
10.0353,7.0324,28.1657,37.5535,58.4337,12.19999981
9.9616,6.9808,29.8135,35.7169,59.0072,11.60000038
9.8446,6.8988,30.6872,32.3334,59.4995,11.80000019
10.1744,7.1299,30.5584,31.1234,58.4605,11.69999981
10.8006,7.5687,31.3596,29.0785,58.3711,12.39999962
11.3273,7.9378,30.9815,25.6931,58.6732,12.10000038
9.4981,6.656,31.607,27.2382,58.8826,11.80000019
8.3124,5.8251,31.3392,37.6419,60.156,11.80000019
8.1521,5.7127,31.9635,36.6838,56.5799,11.60000038
7.6813,5.3828,32.3816,33.7664,60.7448,11.80000019
7.6362,5.3512,33.4596,30.9928,57.5767,11.80000019
7.9969,5.6039,31.8731,31.0229,61.186,11.80000019
8.4318,5.9087,31.6957,34.4152,56.7143,11.80000019
8.3265,5.835,32.1862,37.4,56.7439,11.69999981
7.4766,5.2394,34.1085,33.5365,57.5344,11.69999981
7.4456,5.2176,35.4256,29.9027,60.9449,11.69999981
7.3605,5.158,32.119,25.0218,60.9795,11.69999981
7.4952,5.2524,32.1684,24.6892,62.1204,11.80000019
7.8253,5.4837,32.8518,24.8595,61.5241,11.80000019
8.0695,5.6549,32.9993,31.0294,60.9065,11.69999981
7.7597,5.4377,33.2611,28.3202,62.7387,11.69999981
7.877,5.52,33.346,27.5053,60.1269,11.69999981
7.6567,5.3656,36.2891,29.5485,59.5906,11.69999981
7.8609,5.5087,33.1922,26.2556,60.398,11.80000019
7.9492,5.5706,33.4733,26.1412,60.9736,11.69999981
7.9562,5.5755,33.7762,38.4518,60.8473,11.69999981
8.9195,6.2505,33.6918,37.0398,59.3928,11.69999981
7.6766,5.3795,34.9838,36.2278,60.3906,11.89999962
11.6362,8.1543,32.4748,30.1369,60.862,12
11.8785,8.3241,32.4805,28.7986,60.1953,12
11.6876,8.1903,31.9056,25.4812,59.67,12
11.4159,7.9999,32.5715,29.8005,60.1689,11.89999962
13.295,9.3167,33.2245,35.5625,59.3849,12
13.3951,9.3868,33.6996,28.3047,58.9848,12.19999981
12.1197,8.4931,33.4899,28.7223,58.8148,12.19999981
10.1367,7.1034,34.0121,37.8906,58.7294,12.19999981
10.54,7.3861,34.6413,33.7884,58.362,12.19999981
10.7365,7.5238,35.1396,33.6263,58.3324,12
10.6534,7.4656,35.0975,36.7743,58.3737,12
10.8349,7.5928,34.8994,33.1106,58.1854,12
10.8392,7.5958,35.216,32.0056,58.7003,12.39999962
10.9094,7.645,34.3569,38.0185,57.0738,12.39999962
10.9646,7.6837,35.2729,35.2012,58.6256,12
10.4135,7.2975,35.4807,32.3119,57.787,12
9.7869,6.8583,34.4609,40.0005,57.9954,11.69999981
9.3687,6.5653,34.5403,40.04,57.7056,11.69999981
9.3166,6.5288,34.7154,40.1285,57.5697,11.60000038
8.58,6.0126,34.1517,37.2217,57.4482,11.69999981
9.0851,6.3665,34.1664,35.8227,58.1425,11.5
10.3891,7.2803,34.6702,31.8905,59.2268,11.69999981
11.185,7.8381,35.226,29.8336,59.0153,11.69999981
