DepRate,KerFeed,KerTemp,WaterLev,BrineLev,WaterpH,WCBootLev,ECPdP,ECPLev,ReactorIP,ReactordP,ReactorCauLev,ClaydP,ClayOP
2.0789,1.4568,29.9759,0,27.8749,0,0,5.321550677,21.48463148,438.4650781,0.057664535,62.07434404,0,239.193703
6.8048,4.7686,32.2961,29.5534,20.6111,0,0,13.9636941,67.91706378,680.3625045,0.784545915,96.20898878,0.263836774,736.137045
6.9246,4.8525,31.5631,35.1195,30.6069,11,48.41682785,14.0041282,76.00375958,744.7232146,14.14416272,99.3186282,0,780.0603914
6.9667,4.8821,32.0333,42.6689,58.0214,11,48.90144001,13.99933575,76.28604036,743.4032047,5.24924871,93.74091176,15.67185272,779.9806795
7.1494,5.0101,30.8352,30.9678,54.9784,11,49.44899093,13.99836717,80.85302074,744.6052131,0.260721746,96.92105191,28.03222437,780.000223
7.1572,5.0156,28.6146,26.8777,61.0175,13,48.26337628,13.99716121,76.00627885,745.5339796,4.9862E-05,98.77795762,28.42526692,780.0407752
7.2385,5.0725,28.2381,26.5947,61.6175,13,49.91444631,13.99743936,75.99769361,745.5116814,0.002742855,73.80659592,29.83105522,780.0319936
7.2252,5.0632,28.8327,27.4008,59.7742,13,47.59061845,13.99608906,75.99722018,742.7120918,0.029471653,59.86931578,31.38160867,776.022863
7.1083,4.9813,34.4579,28.2698,57.0193,13,48.7187743,14.00194502,76.00304285,677.6668532,6.34812663,63.61156104,33.31111576,710.0836791
7.6518,5.3621,35.1114,27.2383,55.7841,13,48.31275949,14.0008639,75.99895416,680.2595845,11.24479203,72.37108821,35.00894863,709.9486475
9.3866,6.5778,37.5696,23.5512,59.0598,13,47.32528551,14.01174135,76.00063161,691.9109572,13.175783,69.95953532,41.11916458,709.9635175
13.655,9.569,37.5173,33.9229,59.6462,12.30000019,47.51514018,13.99890512,76.00329314,733.1847035,18.98416081,48.43108386,56.81264095,718.575219
13.9102,9.7478,37.4317,41.9358,58.7613,11.80000019,50.44365191,14.00064127,75.99834799,770.3714357,25.05937087,79.96244567,56.84931033,747.7028984
14.0459,9.8429,37.3246,37.2632,58.984,12.30000019,46.36554685,14.00072769,76.00701732,777.9563499,28.2830129,95.00102032,58.37105804,750.0934709
14.5975,10.2295,37.1751,40.4806,57.9628,11.30000019,47.79339083,13.99862329,76.02163044,770.2868942,32.97624606,86.93656534,60.95717882,732.5103121
14.9435,10.4719,37.6306,39.945,58.9575,11.39999962,48.62211754,14.0018202,75.91034766,817.6372741,85.47021433,81.82366864,62.71437195,724.9682198
14.7221,10.3168,36.7701,32.3981,58.85,11.69999981,47.61053522,13.99793939,77.69720863,834.4123359,102.953617,82.17605695,62.44811233,726.767863
14.8067,10.3761,36.4218,25.878,61.4243,11.69999981,49.49940798,15.80182859,79.9979062,843.9375438,102.9690431,48.16319723,62.94311511,734.1293727
11.3424,7.9484,35.9051,42.664,58.9244,11.69999981,44.71541009,15.51069423,79.95225685,873.5199112,143.7875826,45.60139777,47.22812176,742.8026032
9.4384,6.6141,35.6747,43.2105,58.6594,11.69999981,47.55318994,14.00153233,81.09101429,816.2329685,95.35908433,46.66607931,40.51091225,749.9268708
8.4057,5.8905,32.2988,43.5565,58.4998,11.69999981,49.76232608,13.98762461,79.99756978,865.0523005,151.2758806,46.13739726,36.43047476,750.6321151
8.8433,6.1971,32.4543,43.8476,57.6499,11.69999981,46.94375083,14.00061122,79.98771405,932.3814856,214.0749936,48.21635966,40.69613367,750.0383081
