DepRate,KerFeed,KerTemp,WaterLev,BrineLev,WaterpH,WCBootLev,ECPdP,ECPLev,ReactorIP,ReactordP,ReactorCauLev,ClaydP,ClayOP
0,0,28.7798,0,45.0665,0,0.00,0.00,20.13,348.54,0.18,100.00,0.00,0.04
0,0,30.8833,0,36.4707,0,0.00,0.00,20.11,338.31,0.00,95.88,0.00,0.04
2.0789,1.4568,29.9759,0,27.8749,0,0.00,5.32,21.48,438.47,0.06,62.07,0.01,239.19
6.8048,4.7686,32.2961,29.5534,20.6111,0,0.00,13.96,67.92,680.36,0.78,96.21,0.26,736.14
6.9246,4.8525,31.5631,35.1195,30.6069,11,48.42,14.00,76.00,744.72,14.14,99.32,0.00,780.06
6.9667,4.8821,32.0333,42.6689,58.0214,11,48.90,14.00,76.29,743.40,5.25,93.74,15.67,779.98
7.1494,5.0101,30.8352,30.9678,54.9784,11,49.45,14.00,80.85,744.61,0.26,96.92,28.03,780.00
7.1572,5.0156,28.6146,26.8777,61.0175,13,48.26,14.00,76.01,745.53,0.00,98.78,28.43,780.04
7.2385,5.0725,28.2381,26.5947,61.6175,13,49.91,14.00,76.00,745.51,0.00,73.81,29.83,780.03
7.2252,5.0632,28.8327,27.4008,59.7742,13,47.59,14.00,76.00,742.71,0.03,59.87,31.38,776.02
7.1083,4.9813,34.4579,28.2698,57.0193,13,48.72,14.00,76.00,677.67,6.35,63.61,33.31,710.08
7.6518,5.3621,35.1114,27.2383,55.7841,13,48.31,14.00,76.00,680.26,11.24,72.37,35.01,709.95
9.3866,6.5778,37.5696,23.5512,59.0598,13,47.33,14.01,76.00,691.91,13.18,69.96,41.12,709.96
13.655,9.569,37.5173,33.9229,59.6462,12.30000019,47.52,14.00,76.00,733.18,18.98,48.43,56.81,718.58
13.9102,9.7478,37.4317,41.9358,58.7613,11.80000019,50.44,14.00,76.00,770.37,25.06,79.96,56.85,747.70
14.0459,9.8429,37.3246,37.2632,58.984,12.30000019,46.37,14.00,76.01,777.96,28.28,95.00,58.37,750.09
14.5975,10.2295,37.1751,40.4806,57.9628,11.30000019,47.79,14.00,76.02,770.29,32.98,86.94,60.96,732.51
14.9435,10.4719,37.6306,39.945,58.9575,11.39999962,48.62,14.00,75.91,817.64,85.47,81.82,62.71,724.97
14.7221,10.3168,36.7701,32.3981,58.85,11.69999981,47.61,14.00,77.70,834.41,102.95,82.18,62.45,726.77
14.8067,10.3761,36.4218,25.878,61.4243,11.69999981,49.50,15.80,80.00,843.94,102.97,48.16,62.94,734.13
11.3424,7.9484,35.9051,42.664,58.9244,11.69999981,44.72,15.51,79.95,873.52,143.79,45.60,47.23,742.80
9.4384,6.6141,35.6747,43.2105,58.6594,11.69999981,47.55,14.00,81.09,816.23,95.36,46.67,40.51,749.93
8.4057,5.8905,32.2988,43.5565,58.4998,11.69999981,49.76,13.99,80.00,865.05,151.28,46.14,36.43,750.63
