"row"	"column"	"cor"	"p"
"1"	"KerFeed"	"KerTemp"	0.17381278331348	3.1238567288483e-11
"2"	"KerFeed"	"WaterLev"	-0.0136844582041449	0.603856964711497
"3"	"KerTemp"	"WaterLev"	0.00427258558693508	0.871311235618136
"4"	"KerFeed"	"BrineLev"	0.0421866770085744	0.109555548806948
"5"	"KerTemp"	"BrineLev"	-0.21583757343104	0
"6"	"WaterLev"	"BrineLev"	-0.317071609596609	0
"7"	"KerFeed"	"WaterpH"	0.11086850627647	2.48106595290842e-05
"8"	"KerTemp"	"WaterpH"	-0.113792851414221	1.50161454866016e-05
"9"	"WaterLev"	"WaterpH"	-0.153332224898438	4.97189400761044e-09
"10"	"BrineLev"	"WaterpH"	0.0667206940012056	0.0113253689079063
"11"	"KerFeed"	"WCBootLev"	-0.123695124404942	2.50264431111979e-06
"12"	"KerTemp"	"WCBootLev"	0.0053445338328052	0.839419452010218
"13"	"WaterLev"	"WCBootLev"	0.125561217930204	1.75729980878003e-06
"14"	"BrineLev"	"WCBootLev"	-0.094696438465377	0.000320124968353763
"15"	"WaterpH"	"WCBootLev"	0.0912597780424233	0.000525724582153941
"16"	"KerFeed"	"ECPdP"	0.172182144047923	4.78874717657618e-11
"17"	"KerTemp"	"ECPdP"	0.0622255866469359	0.0181995454905541
"18"	"WaterLev"	"ECPdP"	0.483734632422941	0
"19"	"BrineLev"	"ECPdP"	-0.316931928371017	0
"20"	"WaterpH"	"ECPdP"	-0.0753014212085602	0.00424889733308742
"21"	"WCBootLev"	"ECPdP"	0.0441113178956783	0.0942746137426922
"22"	"KerFeed"	"ECPLev"	0.102149449613033	0.000103135665816989
"23"	"KerTemp"	"ECPLev"	0.0787947227236213	0.00277060187774048
"24"	"WaterLev"	"ECPLev"	-0.13191242502456	5.07796107385161e-07
"25"	"BrineLev"	"ECPLev"	0.110243092641693	2.75795881541363e-05
"26"	"WaterpH"	"ECPLev"	0.0328868643939684	0.21231596977287
"27"	"WCBootLev"	"ECPLev"	0.039297606990596	0.136087539027095
"28"	"ECPdP"	"ECPLev"	-0.17836081721492	9.28501719954511e-12
"29"	"KerFeed"	"ReactorIP"	0.716971350333999	0
"30"	"KerTemp"	"ReactorIP"	0.11176078355409	2.1313838502568e-05
"31"	"WaterLev"	"ReactorIP"	-0.056977970455028	0.0306150270630752
"32"	"BrineLev"	"ReactorIP"	0.0933629011443533	0.000388836043041074
"33"	"WaterpH"	"ReactorIP"	0.184483533447781	1.72328817882317e-12
"34"	"WCBootLev"	"ReactorIP"	-0.061771854166591	0.019063834244506
"35"	"ECPdP"	"ReactorIP"	0.116597855215716	9.1699991662253e-06
"36"	"ECPLev"	"ReactorIP"	0.220776980027675	0
"37"	"KerFeed"	"ReactordP"	0.163609845704474	4.23006740746246e-10
"38"	"KerTemp"	"ReactordP"	-0.0254379500128328	0.334735103532704
"39"	"WaterLev"	"ReactordP"	-0.159622979418588	1.12137343855068e-09
"40"	"BrineLev"	"ReactordP"	0.227343712167774	0
"41"	"WaterpH"	"ReactordP"	0.0275262772674883	0.296559664718222
"42"	"WCBootLev"	"ReactordP"	0.0259394990023286	0.325289852486601
"43"	"ECPdP"	"ReactordP"	-0.199925888910019	1.90958360235527e-14
"44"	"ECPLev"	"ReactordP"	0.0823681420856591	0.00175848342942375
"45"	"ReactorIP"	"ReactordP"	0.224443016760622	0
"46"	"KerFeed"	"ReactorCauLev"	0.0809728390078486	0.00210442323477933
"47"	"KerTemp"	"ReactorCauLev"	-0.0730704985171097	0.0055349299326215
"48"	"WaterLev"	"ReactorCauLev"	0.0324327404502329	0.218700564067113
"49"	"BrineLev"	"ReactorCauLev"	0.301241177035548	0
"50"	"WaterpH"	"ReactorCauLev"	-0.0367872380762165	0.162944225742122
"51"	"WCBootLev"	"ReactorCauLev"	-0.0502780327859731	0.0564601688112718
"52"	"ECPdP"	"ReactorCauLev"	0.0105404942089199	0.689416248751328
"53"	"ECPLev"	"ReactorCauLev"	-0.0629857380672864	0.0168282521237424
"54"	"ReactorIP"	"ReactorCauLev"	0.031039252494292	0.239148579788989
"55"	"ReactordP"	"ReactorCauLev"	-0.0204953255708244	0.437070775906426
