"obs"	"leverage"	"rstudent"	"color"	"fct_color"	"txt"
"1"	1	0.25139288524041	1.36954970426855	"leverage"	"leverage"	1
"2"	2	0.0830978257363958	1.19890595579762	"leverage"	"leverage"	2
"3"	3	0.0508756234282931	-0.576501334618459	"leverage"	"leverage"	3
"4"	4	0.0230192620313534	-1.58984510644142	"normal"	"normal"	NA
"5"	5	0.0233341564673738	-0.790860012031308	"normal"	"normal"	NA
"6"	6	0.0348951311294902	-0.620893988632021	"leverage"	"leverage"	6
"7"	7	0.0292214993489511	-0.468816971672065	"normal"	"normal"	NA
"8"	8	0.0269091123068734	-0.344187053710134	"normal"	"normal"	NA
"9"	9	0.0184787679195361	0.692819102064022	"normal"	"normal"	NA
"10"	10	0.0186410603075697	1.69513129530644	"normal"	"normal"	NA
"11"	11	0.0218844302685072	0.699504546818806	"normal"	"normal"	NA
"12"	12	0.02099626369348	-0.373849259648074	"normal"	"normal"	NA
"13"	13	0.0240213961991238	-0.305499072373198	"normal"	"normal"	NA
"14"	14	0.0248628094783162	-0.299379792611194	"normal"	"normal"	NA
"15"	15	0.0375734193935141	-0.50480712514887	"leverage"	"leverage"	15
"16"	16	0.0465283706022168	-0.168272509583914	"leverage"	"leverage"	16
"17"	17	0.0453565840579289	-0.27546299597043	"leverage"	"leverage"	17
"18"	18	0.0850871805446569	-0.366338908358475	"leverage"	"leverage"	18
"19"	19	0.0370520439657618	-0.228772395428886	"leverage"	"leverage"	19
"20"	20	0.102096050229476	-0.613401030975479	"leverage"	"leverage"	20
"21"	21	0.216432047171744	-0.722163384306146	"leverage"	"leverage"	21
"22"	22	0.26708914493845	-1.11579534910748	"leverage"	"leverage"	22
"23"	23	0.0176237930317839	-0.014581108277786	"normal"	"normal"	NA
"24"	24	0.0144103251692065	0.3645773267402	"normal"	"normal"	NA
"25"	25	0.0162041356572937	0.81400625272008	"normal"	"normal"	NA
"26"	26	0.0243119384221715	1.13395957666515	"normal"	"normal"	NA
"27"	27	0.0343981918440808	1.02951605810394	"leverage"	"leverage"	27
"28"	28	0.0192822985560114	-0.445706415738495	"normal"	"normal"	NA
"29"	29	0.0123855965051964	0.4910861022843	"normal"	"normal"	NA
"30"	30	0.0119111144492864	0.90453031011296	"normal"	"normal"	NA
"31"	31	0.0117961131922969	1.11968318065405	"normal"	"normal"	NA
"32"	32	0.0104772862675351	0.976040117029076	"normal"	"normal"	NA
"33"	33	0.012186350708468	0.231128484396651	"normal"	"normal"	NA
"34"	34	0.00943145260683842	0.301027643545223	"normal"	"normal"	NA
"35"	35	0.0637928466486123	-9.72937381199782	"outlier & leverage"	"outlier & leverage"	35
"36"	36	0.0443988219585844	-0.548432796212637	"leverage"	"leverage"	36
"37"	37	0.0115963304039278	0.40954247397244	"normal"	"normal"	NA
"38"	38	0.0129575078375957	1.55034214468799	"normal"	"normal"	NA
"39"	39	0.0103821540770211	1.25883706696284	"normal"	"normal"	NA
"40"	40	0.0147172896407294	1.03498526015539	"normal"	"normal"	NA
"41"	41	0.0232274558376087	0.879484103349547	"normal"	"normal"	NA
"42"	42	0.0169774278603437	1.36661061271441	"normal"	"normal"	NA
"43"	43	0.0173359071003811	0.944643967086745	"normal"	"normal"	NA
"44"	44	0.0150510617010898	0.69397302014553	"normal"	"normal"	NA
"45"	45	0.0256836545032972	0.621298512745326	"normal"	"normal"	NA
"46"	46	0.0198057593561843	0.468260788728736	"normal"	"normal"	NA
"47"	47	0.0173337430852728	0.772014479720412	"normal"	"normal"	NA
"48"	48	0.0147712858892643	0.939832402445903	"normal"	"normal"	NA
"49"	49	0.0258116422873845	0.767491045112329	"normal"	"normal"	NA
"50"	50	0.0235708471948277	1.08166715900671	"normal"	"normal"	NA
"51"	51	0.0250974370590621	0.981617314065811	"normal"	"normal"	NA
"52"	52	0.0224690111319528	0.812383724963891	"normal"	"normal"	NA
"53"	53	0.0215339079650497	0.807610443629373	"normal"	"normal"	NA
"54"	54	0.0224931362448602	0.669419702814675	"normal"	"normal"	NA
"55"	55	0.0201714759368599	0.341242811734689	"normal"	"normal"	NA
"56"	56	0.021310810090657	0.823153625165167	"normal"	"normal"	NA
"57"	57	0.0164977344935427	0.324490185988923	"normal"	"normal"	NA
"58"	58	0.0142309777282073	0.0303206105934299	"normal"	"normal"	NA
"59"	59	0.0142624831665894	0.227524506953205	"normal"	"normal"	NA
"60"	60	0.0153739033975816	0.00557810047806528	"normal"	"normal"	NA
"61"	61	0.0165927535030407	-0.905358175061762	"normal"	"normal"	NA
"62"	62	0.0163648634756467	-0.770465035143718	"normal"	"normal"	NA
"63"	63	0.0179613381714523	-0.648788819252117	"normal"	"normal"	NA
"64"	64	0.0168657882341265	-0.425249279294692	"normal"	"normal"	NA
"65"	65	0.0171014469648949	-0.367019841985006	"normal"	"normal"	NA
"66"	66	0.0175651057256862	-0.435325870744302	"normal"	"normal"	NA
"67"	67	0.0184337816129568	-0.344862231024748	"normal"	"normal"	NA
"68"	68	0.017756444837072	0.427201489356124	"normal"	"normal"	NA
"69"	69	0.0143285270209893	0.456835049401613	"normal"	"normal"	NA
"70"	70	0.0127674718210062	0.031491377073551	"normal"	"normal"	NA
"71"	71	0.0137641621974406	0.173667064969301	"normal"	"normal"	NA
"72"	72	0.0124423203067172	0.269553826365882	"normal"	"normal"	NA
"73"	73	0.0122861995757955	0.378360855258609	"normal"	"normal"	NA
"74"	74	0.0112701377956634	0.0496170149997587	"normal"	"normal"	NA
"75"	75	0.0108152466451324	0.147508371617389	"normal"	"normal"	NA
"76"	76	0.010122257697587	0.240905672849856	"normal"	"normal"	NA
"77"	77	0.0102469046767046	0.301190815007953	"normal"	"normal"	NA
"78"	78	0.0103548870478077	0.392382998019153	"normal"	"normal"	NA
"79"	79	0.00802340612968245	0.259048670414886	"normal"	"normal"	NA
"80"	80	0.00808857129857048	-0.558980943813001	"normal"	"normal"	NA
"81"	81	0.00779116184500914	-0.45115821276952	"normal"	"normal"	NA
"82"	82	0.0115371538032853	-0.682218740696079	"normal"	"normal"	NA
"83"	83	0.00823108779580438	-0.554261292839819	"normal"	"normal"	NA
"84"	84	0.011553944249317	-0.395876492930973	"normal"	"normal"	NA
"85"	85	0.007325529303189	-0.503228635049175	"normal"	"normal"	NA
"86"	86	0.00806367580729607	-0.337430100349178	"normal"	"normal"	NA
"87"	87	0.0123492870206991	1.23237329839762	"normal"	"normal"	NA
"88"	88	0.0131160678484759	1.27703619488978	"normal"	"normal"	NA
"89"	89	0.0123967674373553	1.43314967309617	"normal"	"normal"	NA
"90"	90	0.0110792959279579	1.26926454497126	"normal"	"normal"	NA
"91"	91	0.0107380192512293	0.548006002352019	"normal"	"normal"	NA
"92"	92	0.00960418950344608	0.486198791704751	"normal"	"normal"	NA
"93"	93	0.0114615956252873	1.40502568222338	"normal"	"normal"	NA
"94"	94	0.0117902514599284	1.42673669393287	"normal"	"normal"	NA
"95"	95	0.0111456032162087	0.856627767339477	"normal"	"normal"	NA
"96"	96	0.00879916963741616	0.911628563674563	"normal"	"normal"	NA
"97"	97	0.00949607617083056	-0.656002732768822	"normal"	"normal"	NA
"98"	98	0.0090904878957926	0.148956114910895	"normal"	"normal"	NA
"99"	99	0.00911649793184971	0.231045504716983	"normal"	"normal"	NA
"100"	100	0.00977203331058236	0.459119286872759	"normal"	"normal"	NA
"101"	101	0.00756348070067155	0.309697072634127	"normal"	"normal"	NA
"102"	102	0.0109883485243733	-0.343462506695066	"normal"	"normal"	NA
"103"	103	0.0106463634054756	-0.0614667976711884	"normal"	"normal"	NA
"104"	104	0.00934704578376601	0.296648147959226	"normal"	"normal"	NA
"105"	105	0.00691748052974095	0.0463266375672798	"normal"	"normal"	NA
"106"	106	0.00681521305913898	0.168717050485819	"normal"	"normal"	NA
"107"	107	0.00700835354358552	0.0165795900989283	"normal"	"normal"	NA
"108"	108	0.00713661276643558	0.170142715147453	"normal"	"normal"	NA
"109"	109	0.00812547161633237	0.195191122777375	"normal"	"normal"	NA
"110"	110	0.00769323091905472	-0.0047658718107689	"normal"	"normal"	NA
"111"	111	0.00661437532102557	0.0367376484410567	"normal"	"normal"	NA
"112"	112	0.00631252689925515	0.212223017702605	"normal"	"normal"	NA
"113"	113	0.00608078168279448	-0.110052227670889	"normal"	"normal"	NA
"114"	114	0.00633125206539091	-0.139682622319341	"normal"	"normal"	NA
"115"	115	0.00627576898022977	-0.159884096780872	"normal"	"normal"	NA
"116"	116	0.00625863087115564	-0.00582093381321025	"normal"	"normal"	NA
"117"	117	0.00655716205092794	0.222200970313975	"normal"	"normal"	NA
"118"	118	0.00797908378426411	0.242785126023389	"normal"	"normal"	NA
