"DepRate"	"D1"	"D2"	"D3"	"D4"	"D5"	"D6"	"D7"	"D8"	"KerFeed"	"KerTemp"	"WaterLev"	"BrineLev"	"WaterpH"	"WCBootLev"	"ECPdP"	"ECPLev"	"ReactorIP"	"ReactordP"	"ReactorCauLev"	"ClaydP"	"ClayOP"
"10"	7.6518	1	0	0	0	0	0	0	0	-0.286230951	0.204561607	-1.018984408	1.104250414	2.762402654	0.195604695	-0.700277171	-0.130777162	-0.003193409	-0.440924588	1.110912305	-0.39897614	0.591697168
"24"	8.0663	1	0	0	0	0	0	0	0	-0.187496182	-0.274850455	-0.084814871	1.373065227	-0.670719041	0.462002296	-0.700277171	0.263259065	0.848368879	3.342273381	0.073802273	-0.389926189	0.794477271
"51"	11.7454	1	0	0	0	0	0	0	0	0.688779142	-1.448879142	-1.222833695	1.279391326	1.260412677	-1.763201192	-0.700277171	0.262276431	0.391443191	-0.066929361	1.125272291	0.252982346	0.794274744
"59"	13.0859	1	0	0	0	0	0	0	0	1.008061214	-1.436686744	-1.357441002	1.298803901	1.260412677	-1.701099791	-0.287935423	0.264241699	0.755537744	1.617250429	0.543958821	0.536426818	0.775642265
"69"	7.4443	1	0	0	0	0	0	0	0	-0.335649317	-1.006510966	-1.00458839	1.42413017	1.045841807	-1.94892501	0.124406325	0.262276431	0.178065985	-0.413161916	0.92848731	-0.560427269	0.794629166
"80"	9.9616	1	0	0	0	0	0	0	0	0.263930738	-1.340751829	-0.426756964	1.316347604	-0.2415773	0.316325176	0.124406325	0.261293797	0.283132476	-0.323200181	-0.199037443	-0.201325205	0.794021586
"91"	8.4318	1	0	0	0	0	0	0	0	-0.100453241	-0.79174393	-0.517680284	1.165462541	0.187562402	0.820101031	0.124406325	0.261293797	0.22668299	-0.39928058	0.283351685	-0.526399453	0.795084852
"94"	7.4456	1	0	0	0	0	0	0	0	-0.335343426	0.296208765	-0.832876937	1.443858611	-0.027008468	0.258286483	0.123031853	0.263259065	-0.194787972	-0.443327127	0.867856262	-0.591197104	0.362993615
"101"	7.6567	1	0	0	0	0	0	0	0	-0.285041375	0.548078025	-0.857617691	1.354738439	-0.027008468	0.195604695	0.125780798	0.261293797	-0.212723892	-0.41449666	0.495560353	-0.884053525	0.374689546
"115"	10.54	1	0	0	0	0	0	0	0	0.401683584	0.06744089	-0.56146206	1.273889999	1.045841807	0.261768805	0.124406325	0.257363261	0.268904239	-0.314924769	0.92848731	-0.07426389	0.693416326
"123"	9.7869	1	0	0	0	0	0	0	0	0.222295594	0.01482107	-0.127548901	1.249765762	-0.027008468	0.393516638	0.124406325	0.259328529	0.287164582	-0.242047754	0.57640175	-0.082589845	0.692910008
"132"	12.4048	1	0	0	0	0	0	0	0	0.8458371	0.226146233	-0.414917444	1.301745399	-0.027008468	0.239133715	0.124406325	0.260311163	0.372255927	0.007282397	0.24452654	0.095875193	0.693011272
"156"	8.4095	1	0	0	0	0	0	0	0	-0.105755349	0.113906174	-0.14505323	2.457833348	-0.670719041	0.252482614	0.124406325	0.251467458	0.196001906	-0.011137068	1.697012437	-0.395718157	0.64278459
"157"	8.6184	1	0	0	0	0	0	0	0	-0.055997104	0.293758618	-0.177470463	2.090902774	-0.670719041	0.278600026	0.124406325	0.061819099	0.206846881	0.013689167	1.07581012	-0.363500331	0.642480799
"175"	11.3693	1	0	0	0	0	0	0	0	0.59918711	0.371200759	-0.10957658	1.19280466	-0.885287873	-1.687170504	-0.150488174	0.262276431	0.481354524	-0.419568687	-0.83247234	0.206646596	0.794376008
"189"	8.9518	1	0	0	0	0	0	0	0	0.023398566	-0.570122316	-0.123672244	0.954135273	-2.38727785	-0.596623464	0.124406325	0.666138999	0.396772986	-0.384598398	-0.114473087	-0.207479172	0.794629166
"215"	11.8934	1	0	0	0	0	0	0	0	0.724024565	-0.36932695	-0.129323083	0.664953708	-0.885287873	-1.448631476	0.124406325	0.262276431	0.429493296	-0.291166328	1.174734461	0.388731614	0.541065432
"216"	12.0434	1	0	0	0	0	0	0	0	0.759745819	-0.689537805	-0.131690987	0.211304858	-0.670719041	-0.670332604	0.124406325	0.262276431	0.470509549	-0.236174882	1.233238104	0.551268738	0.541571749
"224"	12.5716	1	0	0	0	0	0	0	0	0.885534934	0.340953113	-0.156606366	0.73731984	-0.027008468	0.125377877	0.124406325	0.262276431	0.538406509	-0.298640894	0.157834778	0.602310463	0.541369222
"237"	10.8944	1	0	0	0	0	0	0	0	0.486109459	-0.65339814	-0.182101497	0.11421566	-0.670719041	0.189800826	0.124406325	0.261293797	0.551151672	-0.325869668	1.531606683	0.77172555	0.541267959
"238"	10.9826	1	0	0	0	0	0	0	0	0.507113964	-0.605211919	-0.202476646	-0.416175378	-0.45614817	0.330254463	0.124406325	0.263259065	0.54531207	-0.333344234	1.657655441	0.72900978	0.541116063
"256"	10.6111	1	0	0	0	0	0	0	0	0.418609545	-0.326391044	-0.402344503	1.225286175	-1.099858743	0.113770138	0.124406325	0.261293797	0.65144452	-0.304513767	2.271943691	1.256078939	0.541976803
"275"	7.3516	0	1	0	0	0	0	0	0	0.623930281	-0.562976054	-0.371058834	1.559847103	0.402131234	0.239133715	0.124406325	0.262276431	0.414152754	-0.283424814	-0.637814765	0.245380387	0.54131859
"285"	4.3229	0	1	0	0	0	0	0	0	-0.504467079	-1.260101163	0.332222606	0.065868477	1.045841807	0.462002296	0.124406325	0.259328529	0.07128469	-0.476161826	0.477477409	-0.513367523	0.541267959
"298"	5.107	0	1	0	0	0	0	0	0	-0.212171377	-0.420050823	0.371520033	-0.067097792	0.187562402	0.283823508	0.124406325	0.263259065	-0.023029518	-0.11498014	1.32578023	-0.411284073	0.288159909
"304"	4.6869	0	1	0	0	0	0	0	0	-0.36851559	-0.142950885	0.318224732	-0.12215712	-0.027008468	0.31748595	0.123031853	0.263259065	0.024011721	-0.025018404	-0.579842973	-0.448207874	0.287754855
"311"	7.0125	0	1	0	0	0	0	0	0	0.494776367	-0.501722384	-0.625416421	0.452047112	0.831272975	-0.392327265	0.124406325	0.212162098	0.538823623	-0.084281031	0.520025513	0.138590963	0.440004486
"334"	7.5728	0	1	0	0	0	0	0	0	0.705501175	-0.352963469	-1.486488274	-0.192496448	2.118692082	-0.47822453	0.124406325	0.223953706	0.617982674	-0.14327671	0.554595847	0.290992141	0.441624702
"337"	7.2732	0	1	0	0	0	0	0	0	0.593341196	-0.245040336	-0.111434582	-0.21520587	1.260412677	-0.584435338	0.124406325	0.211179464	0.565657985	-0.230568957	-0.403268342	0.251172356	0.439447537
"358"	8.3444	0	1	0	0	0	0	0	0	0.990999302	-0.758404432	0.028858488	-0.145412727	-0.027008468	-0.201960352	0.124406325	0.458803228	1.007428516	-0.189458847	-0.643133278	0.683036028	0.743541745
"360"	7.3443	0	1	0	0	0	0	0	0	0.620531494	-1.131760138	-0.82891646	-0.164634467	-0.027008468	-0.421346611	0.124406325	0.458803228	0.904818365	-0.214018134	-0.159680447	0.544390775	0.742984796
"365"	6.6848	0	1	0	0	0	0	0	0	0.375818814	-0.872161249	-0.171379572	-0.145182408	-8.180669946	-0.627383971	0.124406325	0.459785862	0.864358265	-0.311454435	-0.709082839	0.212800563	0.743237954
"366"	6.9353	0	1	0	0	0	0	0	0	0.467586069	-0.743820225	-0.334122326	-0.135351091	-0.885287873	-0.571086439	0.124406325	0.458803228	0.898978763	-0.324801873	-0.449539405	0.172256781	0.744149325
"388"	8.9995	0	1	0	0	0	0	0	0	1.235711983	-0.087530897	-0.108242452	-0.179262994	1.260412677	2.168339869	0.123031853	0.454872692	1.092473514	-0.191594437	-0.55803707	0.974444457	0.644708596
