DepRate,D1,D2,D3,D4,D5,D6,D7,D8,KerFeed,KerTemp,WaterLev,BrineLev,WaterpH,WCBootLev,ECPdP,ECPLev,ReactorIP,ReactordP,ReactorCauLev,ClaydP,ClayOP
2.0789,1,0,0,0,0,0,0,0,-1.613559328,-1.293382324,-2.921570776,-0.732323971,-3.674698995,-2.608244562,-1.893319296,-5.488097642,-1.123794506,-0.739373313,0.563105468,-1.66596931,-1.791842445
6.8048,1,0,0,0,0,0,0,0,-0.487948973,-0.616616769,-0.857275428,-1.210320797,-3.674698995,-2.608244562,-0.705775061,-0.924745421,-0.002729949,-0.720153002,2.378845802,-1.656919359,0.724301685
6.9246,1,0,0,0,0,0,0,0,-0.459433148,-0.830421248,-0.468485159,-0.552543783,-1.528998445,0.201988951,-0.700277171,-0.130777162,0.295553217,-0.363509445,2.544251556,-1.666331308,0.94667627
6.9667,1,0,0,0,0,0,0,0,-0.449372738,-0.693271362,0.058837968,1.2514767,-1.528998445,0.229847524,-0.700277171,-0.102280777,0.289435539,-0.600826901,2.247478531,-1.099080366,0.946271216
7.1494,1,0,0,0,0,0,0,0,-0.405868261,-1.042738137,-0.758480049,1.051231052,-1.528998445,0.261768805,-0.700277171,0.34580032,0.29504341,-0.734034338,2.416607244,-0.651650778,0.94637248
7.1572,1,0,0,0,0,0,0,0,-0.403998928,-1.690451951,-1.0441722,1.448636079,2.762402654,0.19270276,-0.700277171,-0.129794528,0.299307247,-0.740975006,2.515531585,-0.637170856,0.946575007
7.2385,1,0,0,0,0,0,0,0,-0.384659829,-1.800271032,-1.063939658,1.488119282,2.762402654,0.288466604,-0.700277171,-0.130777162,0.299214555,-0.740975006,1.187498892,-0.586491129,0.946524375
7.2252,1,0,0,0,0,0,0,0,-0.387820701,-1.626835639,-1.007633836,1.3668203,2.762402654,0.153816836,-0.700277171,-0.130777162,0.286237661,-0.740174159,0.446098182,-0.530381431,0.926221049
7.1083,1,0,0,0,0,0,0,0,-0.415656769,0.013946017,-0.946934469,1.18553317,2.762402654,0.219400559,-0.700277171,-0.130777162,-0.015197035,-0.571462537,0.645010568,-0.460515808,0.59235538
9.3866,1,0,0,0,0,0,0,0,0.126959613,0.921579574,-1.27652714,1.319808965,2.762402654,0.138726776,-0.698902699,-0.130777162,0.050799737,-0.389136527,0.982736142,-0.177795332,0.5917478
13.655,1,0,0,0,0,0,0,0,1.143604849,0.906324493,-0.552067278,1.358397216,1.260412677,0.149754128,-0.700277171,-0.130777162,0.242069878,-0.23430624,-0.162339704,0.390179607,0.635392356
13.9102,1,0,0,0,0,0,0,0,1.204375164,0.88135633,0.007631172,1.300166071,0.187562402,0.319227111,-0.700277171,-0.130777162,0.41443083,-0.072001388,1.514587441,0.391627599,0.782831972
14.0459,1,0,0,0,0,0,0,0,1.236697631,0.850116958,-0.318748413,1.31482092,1.260412677,0.083009631,-0.700277171,-0.129794528,0.449607481,0.013956116,2.314491795,0.446651302,0.794932957
