DepRate,D1,D2,D3,D4,D5,D6,D7,D8,Theta
2.0789,1,0,0,0,0,0,0,0,-1.042433039
6.8048,1,0,0,0,0,0,0,0,-0.124804136
6.9246,1,0,0,0,0,0,0,0,-0.084936452
6.9667,1,0,0,0,0,0,0,0,-0.087696867
7.1494,1,0,0,0,0,0,0,0,-0.076397828
7.1572,1,0,0,0,0,0,0,0,-0.075916673
7.2385,1,0,0,0,0,0,0,0,-0.069402457
7.2252,1,0,0,0,0,0,0,0,-0.072167822
7.1083,1,0,0,0,0,0,0,0,-0.108786174
9.3866,1,0,0,0,0,0,0,0,0.089280069
13.655,1,0,0,0,0,0,0,0,0.449074661
13.9102,1,0,0,0,0,0,0,0,0.457914951
14.0459,1,0,0,0,0,0,0,0,0.465482638
14.5975,1,0,0,0,0,0,0,0,0.509417357
14.9435,1,0,0,0,0,0,0,0,0.481897512
14.7221,1,0,0,0,0,0,0,0,0.447928758
14.8067,1,0,0,0,0,0,0,0,0.453797042
11.3424,1,0,0,0,0,0,0,0,0.214720813
9.4384,1,0,0,0,0,0,0,0,0.108251858
8.4057,1,0,0,0,0,0,0,0,0.055514463
8.8433,1,0,0,0,0,0,0,0,0.090197187
8.0417,1,0,0,0,0,0,0,0,0.061117921
9.2385,1,0,0,0,0,0,0,0,0.091719415
10.4893,1,0,0,0,0,0,0,0,0.183061183
11.5813,1,0,0,0,0,0,0,0,0.264542751
12.6736,1,0,0,0,0,0,0,0,0.346038182
13.4239,1,0,0,0,0,0,0,0,0.379456437
13.2645,1,0,0,0,0,0,0,0,0.382345937
12.1517,1,0,0,0,0,0,0,0,0.317280897
11.0688,1,0,0,0,0,0,0,0,0.233374506
11.035,1,0,0,0,0,0,0,0,0.230087011
10.8403,1,0,0,0,0,0,0,0,0.213948808
10.859,1,0,0,0,0,0,0,0,0.216626336
10.3748,1,0,0,0,0,0,0,0,0.178521884
6.1791,1,0,0,0,0,0,0,0,-0.229160606
7.1078,1,0,0,0,0,0,0,0,-0.100362877
10.7505,1,0,0,0,0,0,0,0,0.204313748
10.632,1,0,0,0,0,0,0,0,0.192772281
10.141,1,0,0,0,0,0,0,0,0.154273103
10.1127,1,0,0,0,0,0,0,0,0.154305768
10.79,1,0,0,0,0,0,0,0,0.209164762
12.3874,1,0,0,0,0,0,0,0,0.333430921
12.6209,1,0,0,0,0,0,0,0,0.342051914
11.9982,1,0,0,0,0,0,0,0,0.282975971
11.3715,1,0,0,0,0,0,0,0,0.245441501
11.4221,1,0,0,0,0,0,0,0,0.255853631
11.4839,1,0,0,0,0,0,0,0,0.264111711
13.6707,1,0,0,0,0,0,0,0,0.438175159
13.9319,1,0,0,0,0,0,0,0,0.460074676
13.7932,1,0,0,0,0,0,0,0,0.449633473
13.6176,1,0,0,0,0,0,0,0,0.436023252
13.3713,1,0,0,0,0,0,0,0,0.417437658
13.7495,1,0,0,0,0,0,0,0,0.447553275
13.7862,1,0,0,0,0,0,0,0,0.450325807
11.0008,1,0,0,0,0,0,0,0,0.219088082
8.3441,1,0,0,0,0,0,0,0,0.017665642
8.2301,1,0,0,0,0,0,0,0,0.006635972
8.3091,1,0,0,0,0,0,0,0,0.012277751
8.1042,1,0,0,0,0,0,0,0,-0.004817124
6.9929,1,0,0,0,0,0,0,0,-0.096127965
7.074,1,0,0,0,0,0,0,0,-0.089640447
7.1524,1,0,0,0,0,0,0,0,-0.083467208
7.3349,1,0,0,0,0,0,0,0,-0.068481236
7.3917,1,0,0,0,0,0,0,0,-0.064010554
7.3148,1,0,0,0,0,0,0,0,-0.070351691
7.465,1,0,0,0,0,0,0,0,-0.058112346
8.6339,1,0,0,0,0,0,0,0,0.037619137
10.9418,1,0,0,0,0,0,0,0,0.224577471
11.0848,1,0,0,0,0,0,0,0,0.236142405
10.924,1,0,0,0,0,0,0,0,0.223260014
11.0442,1,0,0,0,0,0,0,0,0.23285197
10.8107,1,0,0,0,0,0,0,0,0.214053794
10.0353,1,0,0,0,0,0,0,0,0.151428901
