DepRate,D1,D2,D3,D4,D5,D6,D7,D8,KerFeed,ReactordP,ClayOP
2.0789,1,0,0,0,0,0,0,0,-1.613559328,-0.739373313,-1.791842445
6.8048,1,0,0,0,0,0,0,0,-0.487948973,-0.720153002,0.724301685
6.9246,1,0,0,0,0,0,0,0,-0.459433148,-0.363509445,0.94667627
6.9667,1,0,0,0,0,0,0,0,-0.449372738,-0.600826901,0.946271216
7.1494,1,0,0,0,0,0,0,0,-0.405868261,-0.734034338,0.94637248
7.1572,1,0,0,0,0,0,0,0,-0.403998928,-0.740975006,0.946575007
7.2385,1,0,0,0,0,0,0,0,-0.384659829,-0.740975006,0.946524375
7.2252,1,0,0,0,0,0,0,0,-0.387820701,-0.740174159,0.926221049
7.1083,1,0,0,0,0,0,0,0,-0.415656769,-0.571462537,0.59235538
9.3866,1,0,0,0,0,0,0,0,0.126959613,-0.389136527,0.5917478
13.655,1,0,0,0,0,0,0,0,1.143604849,-0.23430624,0.635392356
13.9102,1,0,0,0,0,0,0,0,1.204375164,-0.072001388,0.782831972
14.0459,1,0,0,0,0,0,0,0,1.236697631,0.013956116,0.794932957
14.5975,1,0,0,0,0,0,0,0,1.368094745,0.139422038,0.705922365
14.9435,1,0,0,0,0,0,0,0,1.450481348,1.540636132,0.667746036
14.7221,1,0,0,0,0,0,0,0,1.397766158,2.007262582,0.676859748
14.8067,1,0,0,0,0,0,0,0,1.417920966,2.00779648,0.714124706
11.3424,1,0,0,0,0,0,0,0,0.59279739,3.097481359,0.758022421
9.4384,1,0,0,0,0,0,0,0,0.13929721,1.804648466,0.794122849
8.4057,1,0,0,0,0,0,0,0,-0.106639034,3.297425988,0.797667071
8.8433,1,0,0,0,0,0,0,0,-0.002432217,4.973597315,0.794679798
8.0417,1,0,0,0,0,0,0,0,-0.193342096,5.455439845,0.793768427
9.2385,1,0,0,0,0,0,0,0,0.091680201,0.984047947,0.791641894
10.4893,1,0,0,0,0,0,0,0,0.389583902,0.538510449,0.780958598
11.5813,1,0,0,0,0,0,0,0,0.649693088,0.560667197,0.77402205
12.6736,1,0,0,0,0,0,0,0,0.909870251,0.583090894,0.767085502
13.4239,1,0,0,0,0,0,0,0,1.088544496,1.445869319,0.777718167
13.2645,1,0,0,0,0,0,0,0,1.050580042,0.899425186,0.794578535
12.1517,1,0,0,0,0,0,0,0,0.785542614,-0.010336222,0.794578535
11.0688,1,0,0,0,0,0,0,0,0.527642639,-0.147280941,0.794072217
11.035,1,0,0,0,0,0,0,0,0.519587513,-0.080009851,0.794274744
10.8403,1,0,0,0,0,0,0,0,0.473194068,0.016091706,0.794224113
10.859,1,0,0,0,0,0,0,0,0.477680467,-0.141141119,0.794072217
10.3748,1,0,0,0,0,0,0,0,0.362359616,-0.243382498,0.793768427
